Season,PlayerName,MatchesPlayed,Total points
All Seasons,Pardeep Narwal,104,1108
All Seasons,Rahul Chaudhari,118,996
All Seasons,Deepak Niwas Hooda,123,934
All Seasons,Ajay Thakur,115,811
All Seasons,Maninder Singh,78,727
All Seasons,Rohit Kumar,89,703
All Seasons,Rishank Devadiga,116,640
All Seasons,Kashiling Adake,92,612
All Seasons,Pawan Kumar Sehrawat,75,612
All Seasons,Anup Kumar,91,596
All Seasons,Manjeet Chhillar,108,563
All Seasons,Sandeep Narwal,119,541
All Seasons,Jang Kun Lee,103,483
All Seasons,Monu Goyat,68,475
All Seasons,Sachin Tanwar,63,462
All Seasons,Nitin Tomar,65,447
All Seasons,Jasvir Singh,77,412
All Seasons,Naveen Kumar,40,401
All Seasons,Sukesh Hegde,96,400
All Seasons,Rajesh Narwal,92,397
All Seasons,Meraj Sheykh,94,393
All Seasons,Siddharth Sirish Desai,39,384
All Seasons,Vikash Kandola,49,380
All Seasons,K. Prapanjan,81,369
All Seasons,Prashanth Kumar Rai,92,367
All Seasons,Shrikant Jadhav,71,367
All Seasons,Ravinder Pahal,107,326
All Seasons,Ran Singh,116,324
All Seasons,Deepak Narwal,81,321
All Seasons,Nilesh Salunke,79,313
All Seasons,Chandran Ranjit,59,308
All Seasons,Wazir Singh,47,300
All Seasons,Fazel Atrachali,97,296
All Seasons,Rohit Baliyan,67,296
All Seasons,Dharmaraj Cheralathan,114,294
All Seasons,Mohit Chhillar,108,284
All Seasons,Pawan Kumar Kadian,74,279
All Seasons,PO Surjeet Singh,92,275
All Seasons,Rajesh Mondal,89,270
All Seasons,Girish Maruti Ernak,103,268
All Seasons,Rakesh Kumar,55,260
All Seasons,Surender Nada,71,243
All Seasons,Amit Hooda,86,237
All Seasons,Shabeer Bappu,74,236
All Seasons,Manjeet,41,228
All Seasons,Jeeva Kumar,111,227
All Seasons,Rohit Gulia,56,204
All Seasons,Sandeep Kumar Dhull,64,200
All Seasons,Vishal Bhardwaj,59,198
All Seasons,Mahendra Ganesh Rajput,62,195
All Seasons,Vishal Mane,123,193
All Seasons,Nitesh Kumar,61,192
All Seasons,Deepak Kumar Dahiya,53,189
All Seasons,Mahesh Goud,65,189
All Seasons,CPO Surjeet Singh,48,184
All Seasons,Vijay,57,184
All Seasons,Ajay Kumar,50,183
All Seasons,Sunil Kumar,68,182
All Seasons,Kuldeep Singh,66,182
All Seasons,Ravi Dalal,38,179
All Seasons,Parvesh Bhainswal,74,177
All Seasons,Jaideep,67,177
All Seasons,Surjeet Narwal,31,174
All Seasons,Nitin Madane,37,173
All Seasons,Joginder Singh Narwal,78,172
All Seasons,Surinder Singh,62,169
All Seasons,Mahender Singh,62,167
All Seasons,More GB,44,167
All Seasons,Nitin Rawal,44,167
All Seasons,Abhishek Singh,31,162
All Seasons,Abozar Mohajermighani,63,161
All Seasons,Naveen,34,160
All Seasons,Ashish Kumar,83,157
All Seasons,Shrikant Tewthia,71,157
All Seasons,Selvamani K,55,155
All Seasons,Nilesh Shinde,69,153
All Seasons,Abolfazl Maghsodloumahali,47,152
All Seasons,Ravi Kumar,90,150
All Seasons,Surender Singh,48,145
All Seasons,Monu,52,142
All Seasons,Tushar Patil,53,139
All Seasons,Sonu Narwal,33,138
All Seasons,Rohit Rana,82,138
All Seasons,Sunil Jaipal,38,125
All Seasons,Farhad Rahimi Milaghardan,58,123
All Seasons,Hadi Oshtorak,69,119
All Seasons,Sachin Shingade,75,119
All Seasons,Jasmer Singh Gulia,52,116
All Seasons,Pankaj Mohite,16,113
All Seasons,Mohsen Maghsoudloujafari,45,110
All Seasons,Athul MS,37,109
All Seasons,C. Arun,87,109
All Seasons,Sunil,63,109
All Seasons,Vinod Kumar,45,106
All Seasons,D. Suresh Kumar,59,103
All Seasons,Gurvinder Singh,45,100
All Seasons,Darshan Kadian,38,99
All Seasons,Rohit Kumar Choudary,38,96
All Seasons,Bajirao Hodage,61,95
All Seasons,Vikas Kale,57,95
All Seasons,Mohammad Esmaeil Nabibakhsh,19,95
All Seasons,Rinku Narwal,47,94
All Seasons,Ajinkya Ashok Pawar,31,94
All Seasons,V. Ajith Kumar,15,89
All Seasons,Mahipal Narwal,34,87
All Seasons,Somvir Shekhar,61,87
All Seasons,Manoj Kumar,52,84
All Seasons,Baldev Singh,37,84
All Seasons,Vinay,17,84
All Seasons,Sunil,37,83
All Seasons,Bhupender Singh,47,83
All Seasons,Arjun Deshwal,19,82
All Seasons,Amit Sheoran,38,81
All Seasons,Sachin Kumar,46,79
All Seasons,Vikas Jaglan,46,78
All Seasons,Anil Kumar,52,78
All Seasons,Sagar B Krishna,59,71
All Seasons,Sandeep Kandola,16,70
All Seasons,Dong Geon Lee,32,70
All Seasons,Jitesh Joshi,19,69
All Seasons,Jawahar Dagar,46,65
All Seasons,Kuldeep Singh,36,65
All Seasons,Neeraj Kumar,36,64
All Seasons,Pravin Niwale,17,64
All Seasons,Sunil Siddhgavali,42,63
All Seasons,Vineet Sharma,40,63
All Seasons,Sumit Singh,32,63
All Seasons,Akshay Jadhav,29,62
All Seasons,Vinod Kumar,29,61
All Seasons,Vishal,25,61
All Seasons,Amit Singh Chhillar,35,60
All Seasons,Sumit,17,60
All Seasons,Ruturaj Shivaji Koravi,36,57
All Seasons,Prashant Chavan,41,57
All Seasons,Rajaguru Subramanian,46,55
All Seasons,Surender Gill,14,55
All Seasons,Shyam Kumar Sah,27,53
All Seasons,Rakesh Narwal,25,52
All Seasons,Amit Om Prakash Rathi,16,52
All Seasons,D. Pradap,29,51
All Seasons,D. Gopu,34,51
All Seasons,Sachin Khambe,22,51
All Seasons,Rakesh Singh Kumar,49,50
All Seasons,Parmod Narwal,35,49
All Seasons,Ravindra Ramesh Kumawat,18,49
All Seasons,Vinod Kumar,27,48
All Seasons,Saurabh Nandal,18,48
All Seasons,Darshan J.,29,47
All Seasons,Anand Patil,26,46
All Seasons,Harish Naik,21,45
All Seasons,Yogesh Hooda,21,45
All Seasons,Preetam Chhillar,58,45
All Seasons,Suraj Desai,12,45
All Seasons,Rajnish,14,45
All Seasons,Amit Kumar,18,43
All Seasons,Satpal,22,43
All Seasons,Kalimuthu Balamahendran,23,43
All Seasons,Santhapanaselvam,31,43
All Seasons,Narender,28,42
All Seasons,Sombir,30,41
All Seasons,Gangadhari Mallesh,36,41
All Seasons,Kuldeep Singh,20,40
All Seasons,Sachin Vittala,26,39
All Seasons,Mohammad Esmaeil Maghsoudlou Mahalli,17,38
All Seasons,Manish,40,37
All Seasons,R. Sriram,15,36
All Seasons,Suresu Kumar,21,35
All Seasons,Vikas Kumar,14,35
All Seasons,Amit Kumar,17,33
All Seasons,Sonu Jaglan,13,33
All Seasons,Pankaj,21,33
All Seasons,Mayur Shivtarkar,29,33
All Seasons,Ziaur Rahman,34,32
All Seasons,Ajit Singh,17,32
All Seasons,Vijin Thangadurai,51,32
All Seasons,Parveen,25,32
All Seasons,Ashu Singh,17,31
All Seasons,Sidharth,21,31
All Seasons,Vinoth Kumar,17,30
All Seasons,Shubham Shinde,23,30
All Seasons,Amit,31,30
All Seasons,Viraj Vishnu Landge,34,29
All Seasons,Azad Singh,13,29
All Seasons,Jadhav Balasaheb Shahaji,17,29
All Seasons,Rakesh Gowda,9,29
All Seasons,Manpreet Singh,13,29
All Seasons,Umesh Mhatre,13,28
All Seasons,Mangesh Bhagat,8,28
All Seasons,Gurpreet Singh,18,28
All Seasons,Rakshith,17,28
All Seasons,Wasim Sajjad,17,27
All Seasons,Hadi Tajik,28,27
All Seasons,Vikash,19,26
All Seasons,Pradeep Kumar,10,26
All Seasons,Ashish Chhokar,12,25
All Seasons,Anil Kumar,19,25
All Seasons,Deepak Kumar Rathee,20,24
All Seasons,Manoj Dhull,27,24
All Seasons,Armaan,10,24
All Seasons,Amit Nagar,12,23
All Seasons,Young Chang Ko,37,23
All Seasons,Raju Lal Choudhary,23,23
All Seasons,Navneet Gautam,31,22
All Seasons,Tae Deok Eom,35,22
All Seasons,Dadaso Balaso Awad,12,22
All Seasons,Samarjeet Singh,22,22
All Seasons,Somvir,16,22
All Seasons,Rahul Kumar,30,22
All Seasons,Suresh Kumar,11,22
All Seasons,Banty,11,21
All Seasons,Swapnil Dilip Shinde,21,21
All Seasons,Vijendar Singh,8,20
All Seasons,Sushil Gulia,7,20
All Seasons,Ponparthiban Subramanian,17,19
All Seasons,Dinesh Kumar,8,19
All Seasons,Nitin More,22,19
All Seasons,Rupesh Tomar,15,19
All Seasons,Anil Shriram Nimbolkar,6,19
All Seasons,Sandeep,14,19
All Seasons,Ram Kumar Sah,11,18
All Seasons,Amit Kumar,11,17
All Seasons,Krushna Madane,15,17
All Seasons,Harendra Kumar,16,17
All Seasons,Adarsh T,19,17
All Seasons,Kamal Singh,11,17
All Seasons,Mohit Sehrawat,13,17
All Seasons,Sanjay Kumar,8,16
All Seasons,S Mahalingam,11,16
All Seasons,Elangeshwaran R,5,16
All Seasons,M. Thivakaran,9,16
All Seasons,Isac Antony,9,15
All Seasons,Virender Wazir Singh,7,15
All Seasons,Sanket Chavan,13,15
All Seasons,Mohammad Maghshoudulu,18,15
All Seasons,Sumit Malik,14,15
All Seasons,Ajeet,14,14
All Seasons,Anand,8,14
All Seasons,Vijay Kumar,21,14
All Seasons,Victor Onyango Obiero,6,14
All Seasons,C Manoj Kumar,12,14
All Seasons,Sagar Khatale,12,14
All Seasons,Waleed Al Hasani,6,14
All Seasons,Seong Ryeol Kim,15,14
All Seasons,Kedar Lal,10,13
All Seasons,Deepak Dhull,10,13
All Seasons,Amit Kumar,5,13
All Seasons,Ankit,12,13
All Seasons,Sachin Narwal,11,12
All Seasons,Pavan T. R.,15,12
All Seasons,Parvesh,6,12
All Seasons,Lalit Chaudhary,7,12
All Seasons,Jeeva Gopal,24,12
All Seasons,Santhosh B.S,9,12
All Seasons,N. Renjith,11,12
All Seasons,Yatharth Deshwal,6,11
All Seasons,Simon Kibura,9,11
All Seasons,Vijender Singh,8,11
All Seasons,G.S. Manikandan,20,11
All Seasons,Balbir Singh,10,10
All Seasons,Sandeep,5,10
All Seasons,Tapas Pal,7,10
All Seasons,Ravinder Kumar,12,10
All Seasons,Shubham Ashok Palkar,12,9
All Seasons,Anand Surendra Tomar,5,9
All Seasons,Deepak Kumar,7,9
All Seasons,Ankit,13,9
All Seasons,Anil Kumar,6,9
All Seasons,Bhanu Pratap Tomar,6,9
All Seasons,Sagar,9,9
All Seasons,Sushant Sail,8,8
All Seasons,Ajay,16,8
All Seasons,Ankit Beniwal,6,8
All Seasons,Saeid Ghaffari,9,8
All Seasons,Deepak Yadav,7,8
All Seasons,Mohan Raman G,4,8
All Seasons,Ravi V.,2,8
All Seasons,Harvinder Singh,4,8
All Seasons,Amit Kumar Tomar,9,8
All Seasons,Anil Kashinath Patil,5,8
All Seasons,Gnanasekaran M,8,7
All Seasons,Ankush,3,7
All Seasons,Mahesh Maruti Magdum,4,7
All Seasons,Sanket Sawant,5,7
All Seasons,Chand Singh,7,6
All Seasons,M. Abishek,5,6
All Seasons,Bhuvneshwar Gaur,6,6
All Seasons,Anuj Kumar,7,6
All Seasons,David Shilisia J Mosambayi,7,6
All Seasons,Rahul Choudhary,5,6
All Seasons,Vikash Kumar,6,6
All Seasons,Parveen M. Jangra,6,6
All Seasons,Sinotharan Kanesharajah,3,6
All Seasons,Ehsan Zamani Fard,8,6
All Seasons,Wajid Ali,4,5
All Seasons,Mandeep Kumar,7,5
All Seasons,Punit Kumar Teotia,4,5
All Seasons,Vikas Tomar,9,5
All Seasons,Varinder Singh,8,5
All Seasons,T. Prasad,9,5
