Season,PlayerName,MatchesPlayed,Super tackles
All Seasons,Sandeep Narwal,119,28
All Seasons,Dharmaraj Cheralathan,114,24
All Seasons,Mohit Chhillar,108,23
All Seasons,Jeeva Kumar,111,22
All Seasons,Vishal Bhardwaj,59,21
All Seasons,Kuldeep Singh,66,20
All Seasons,Ravinder Pahal,107,19
All Seasons,Fazel Atrachali,97,18
All Seasons,Sandeep Kumar Dhull,64,18
All Seasons,Ravi Kumar,90,18
All Seasons,Amit Hooda,86,18
All Seasons,PO Surjeet Singh,92,16
All Seasons,Surender Nada,71,16
All Seasons,Manjeet Chhillar,108,15
All Seasons,C. Arun,87,15
All Seasons,Hadi Oshtorak,69,14
All Seasons,Nilesh Shinde,69,14
All Seasons,Girish Maruti Ernak,103,14
All Seasons,Nitesh Kumar,61,14
All Seasons,Mahender Singh,62,13
All Seasons,Ashish Kumar,83,13
All Seasons,Abozar Mohajermighani,63,13
All Seasons,Sunil Kumar,68,12
All Seasons,D. Suresh Kumar,59,12
All Seasons,Ran Singh,116,12
All Seasons,Vishal,25,12
All Seasons,Manoj Kumar,52,11
All Seasons,Sachin Shingade,75,10
All Seasons,Parvesh Bhainswal,74,10
All Seasons,Jaideep,67,10
All Seasons,Joginder Singh Narwal,78,10
All Seasons,Monu,52,10
All Seasons,Vinod Kumar,45,9
All Seasons,Sunil Jaipal,38,9
All Seasons,Vishal Mane,123,9
All Seasons,Shrikant Tewthia,71,9
All Seasons,Rajesh Narwal,92,8
All Seasons,Deepak Niwas Hooda,123,8
All Seasons,Anup Kumar,91,8
All Seasons,Baldev Singh,37,8
All Seasons,Manish,40,7
All Seasons,Sunil Siddhgavali,42,7
All Seasons,Rinku Narwal,47,7
All Seasons,Jasmer Singh Gulia,52,7
All Seasons,Jasvir Singh,77,7
All Seasons,Kashiling Adake,92,7
All Seasons,Shabeer Bappu,74,7
All Seasons,D. Gopu,34,7
All Seasons,Vikas Kale,57,7
All Seasons,Sunil,63,7
All Seasons,Sagar B Krishna,59,7
All Seasons,Sombir,30,6
All Seasons,Young Chang Ko,37,6
All Seasons,Jawahar Dagar,46,6
All Seasons,Meraj Sheykh,94,6
All Seasons,Prashant Chavan,41,6
All Seasons,Sachin Khambe,22,6
All Seasons,Kalimuthu Balamahendran,23,6
All Seasons,Rakesh Kumar,55,6
All Seasons,Satpal,22,6
All Seasons,Nitin Rawal,45,6
All Seasons,Parveen,25,6
All Seasons,Shubham Shinde,23,5
All Seasons,Jadhav Balasaheb Shahaji,17,5
All Seasons,Amit Sheoran,38,5
All Seasons,Saurabh Nandal,18,5
All Seasons,Narender,28,5
All Seasons,Kuldeep Singh,36,5
All Seasons,Surinder Singh,62,5
All Seasons,Neeraj Kumar,36,5
All Seasons,Rahul Chaudhari,118,5
All Seasons,Rohit Rana,82,5
All Seasons,Vijin Thangadurai,51,5
All Seasons,Sachin Kumar,46,5
All Seasons,Bajirao Hodage,61,5
All Seasons,Anil Kumar,19,5
All Seasons,Anil Kumar,52,5
All Seasons,Farhad Rahimi Milaghardan,58,4
All Seasons,Mohsen Maghsoudloujafari,45,4
All Seasons,Sandeep Kandola,16,4
All Seasons,Somvir Shekhar,61,4
All Seasons,Wazir Singh,47,4
All Seasons,Gangadhari Mallesh,36,4
All Seasons,Amit Singh Chhillar,35,4
All Seasons,Vijay,57,4
All Seasons,Sachin Tanwar,63,3
All Seasons,Vijay Kumar,21,3
All Seasons,More GB,44,3
All Seasons,Amit,31,3
All Seasons,Ruturaj Shivaji Koravi,36,3
All Seasons,Adarsh T,19,3
All Seasons,Jang Kun Lee,103,3
All Seasons,Wasim Sajjad,17,3
All Seasons,Dadaso Balaso Awad,12,3
All Seasons,Rajaguru Subramanian,46,3
All Seasons,Nitin Madane,37,3
All Seasons,Kuldeep Singh,20,3
All Seasons,Mahesh Goud,65,3
All Seasons,Rupesh Tomar,15,3
All Seasons,Shrikant Jadhav,71,3
