Season,PlayerName,MatchesPlayed,Super 10s
All Seasons,Pardeep Narwal,105,57
All Seasons,Rahul Chaudhari,120,40
All Seasons,Maninder Singh,79,33
All Seasons,Deepak Niwas Hooda,123,31
All Seasons,Ajay Thakur,115,29
All Seasons,Pawan Kumar Sehrawat,76,27
All Seasons,Naveen Kumar,42,27
All Seasons,Rohit Kumar,89,26
All Seasons,Monu Goyat,69,20
All Seasons,Siddharth Sirish Desai,39,19
All Seasons,Sachin Tanwar,63,16
All Seasons,Vikash Kandola,52,15
All Seasons,Kashiling Adake,92,15
All Seasons,Nitin Tomar,66,14
All Seasons,Anup Kumar,91,13
All Seasons,Prashanth Kumar Rai,95,11
All Seasons,Shrikant Jadhav,72,10
All Seasons,Rishank Devadiga,117,10
All Seasons,K. Prapanjan,81,10
All Seasons,Abhishek Singh,33,9
All Seasons,Jang Kun Lee,104,9
All Seasons,Wazir Singh,47,9
All Seasons,Deepak Narwal,81,9
All Seasons,Surjeet Narwal,31,7
All Seasons,Jasvir Singh,77,7
All Seasons,Chandran Ranjit,61,6
All Seasons,Nitin Madane,37,6
All Seasons,CPO Surjeet Singh,48,6
All Seasons,Meraj Sheykh,95,6
All Seasons,Nilesh Salunke,79,5
All Seasons,Pawan Kumar Kadian,74,5
All Seasons,Shabeer Bappu,74,5
All Seasons,Rajesh Narwal,92,4
All Seasons,Ajay Kumar,50,4
All Seasons,Rohit Gulia,58,4
All Seasons,Manjeet,42,4
All Seasons,V. Ajith Kumar,17,4
All Seasons,Pankaj Mohite,16,3
All Seasons,Rohit Baliyan,69,3
All Seasons,Rakesh Kumar,55,3
All Seasons,Ravi Dalal,38,3
All Seasons,Mahendra Ganesh Rajput,62,2
All Seasons,Deepak Kumar Dahiya,53,2
All Seasons,Selvamani K,56,2
All Seasons,Manjeet Chhillar,108,2
All Seasons,Surender Singh,48,2
All Seasons,Vinay,20,2
All Seasons,Naveen,35,2
All Seasons,More GB,45,2
All Seasons,Nitin Rawal,45,2
All Seasons,Arjun Deshwal,19,2
All Seasons,Rajnish,14,2
All Seasons,Vijay,59,1
All Seasons,Sonu Jaglan,15,1
All Seasons,Armaan,10,1
All Seasons,Anil Shriram Nimbolkar,6,1
All Seasons,Mohammad Esmaeil Nabibakhsh,20,1
All Seasons,Dong Geon Lee,33,1
All Seasons,Mohsen Maghsoudloujafari,46,1
All Seasons,Darshan Kadian,39,1
All Seasons,Harish Naik,21,1
All Seasons,Sonu Narwal,33,1
All Seasons,Rohit Kumar Choudary,38,1
All Seasons,Pradeep Kumar,10,1
All Seasons,Sandeep Narwal,121,1
All Seasons,Shrikant Tewthia,71,1
All Seasons,Sukesh Hegde,97,1
