Season,PlayerName,MatchesPlayed,High 5s
All Seasons,PO Surjeet Singh,92,25
All Seasons,Manjeet Chhillar,108,23
All Seasons,Ravinder Pahal,109,23
All Seasons,Surender Nada,71,19
All Seasons,Fazel Atrachali,99,19
All Seasons,Mohit Chhillar,109,18
All Seasons,Sandeep Narwal,121,16
All Seasons,Girish Maruti Ernak,104,16
All Seasons,Vishal Bhardwaj,59,15
All Seasons,Nitesh Kumar,62,15
All Seasons,Sandeep Kumar Dhull,64,13
All Seasons,Dharmaraj Cheralathan,117,12
All Seasons,Jaideep,68,12
All Seasons,Mahender Singh,63,12
All Seasons,Amit Hooda,86,11
All Seasons,Parvesh Bhainswal,76,11
All Seasons,Sunil Kumar,68,10
All Seasons,Ravi Kumar,93,8
All Seasons,Vishal Mane,125,8
All Seasons,Rohit Rana,82,7
All Seasons,Nilesh Shinde,69,7
All Seasons,Abozar Mohajermighani,63,7
All Seasons,Baldev Singh,38,7
All Seasons,Surinder Singh,64,7
All Seasons,Sandeep Kandola,16,6
All Seasons,Kuldeep Singh,66,6
All Seasons,D. Suresh Kumar,59,6
All Seasons,Jasmer Singh Gulia,52,5
All Seasons,Jeeva Kumar,112,5
All Seasons,Sachin Shingade,75,5
All Seasons,Sagar B Krishna,60,5
All Seasons,Amit Sheoran,39,5
All Seasons,Sumit,18,5
All Seasons,Sunil,40,5
All Seasons,Sunil Siddhgavali,42,5
All Seasons,Saurabh Nandal,19,5
All Seasons,Rinku Narwal,48,4
All Seasons,Vikas Kale,60,4
All Seasons,Ashish Kumar,83,4
All Seasons,Deepak Niwas Hooda,123,4
All Seasons,Ran Singh,118,4
All Seasons,Somvir Shekhar,61,4
All Seasons,Kuldeep Singh,20,3
All Seasons,Rajesh Narwal,92,3
All Seasons,C. Arun,87,3
All Seasons,Sachin Kumar,46,3
All Seasons,Hadi Oshtorak,70,3
All Seasons,Neeraj Kumar,37,3
All Seasons,Kuldeep Singh,37,3
All Seasons,Jadhav Balasaheb Shahaji,18,3
All Seasons,Vishal,25,2
All Seasons,Vinod Kumar,47,2
All Seasons,Narender,28,2
All Seasons,Sombir,31,2
All Seasons,Akshay Jadhav,29,2
All Seasons,Jawahar Dagar,46,2
All Seasons,Joginder Singh Narwal,80,2
All Seasons,Sunil,63,2
