Season,PlayerName,MatchesPlayed,Successful raids
All Seasons,Pardeep Narwal,104,836
All Seasons,Rahul Chaudhari,120,776
All Seasons,Deepak Niwas Hooda,123,698
All Seasons,Ajay Thakur,115,640
All Seasons,Maninder Singh,79,586
All Seasons,Rohit Kumar,89,545
All Seasons,Rishank Devadiga,117,467
All Seasons,Pawan Kumar Sehrawat,75,445
All Seasons,Kashiling Adake,92,424
All Seasons,Anup Kumar,91,421
All Seasons,Monu Goyat,69,377
All Seasons,Nitin Tomar,66,366
All Seasons,Jang Kun Lee,103,366
All Seasons,Naveen Kumar,42,357
All Seasons,Sachin Tanwar,63,356
All Seasons,Siddharth Sirish Desai,39,312
All Seasons,Vikash Kandola,51,302
All Seasons,Jasvir Singh,77,295
All Seasons,Sukesh Hegde,97,294
All Seasons,Prashanth Kumar Rai,94,286
All Seasons,K. Prapanjan,81,284
All Seasons,Shrikant Jadhav,72,276
All Seasons,Chandran Ranjit,61,255
All Seasons,Meraj Sheykh,95,249
All Seasons,Deepak Narwal,81,244
All Seasons,Nilesh Salunke,79,229
All Seasons,Rajesh Narwal,92,224
All Seasons,Rohit Baliyan,68,223
All Seasons,Wazir Singh,47,221
All Seasons,Rajesh Mondal,89,212
All Seasons,Pawan Kumar Kadian,74,206
All Seasons,Sandeep Narwal,120,191
All Seasons,Manjeet Chhillar,108,179
All Seasons,Rohit Gulia,58,176
All Seasons,Shabeer Bappu,74,169
All Seasons,Rakesh Kumar,55,164
All Seasons,Manjeet,42,162
All Seasons,Deepak Kumar Dahiya,53,142
All Seasons,Abhishek Singh,32,141
All Seasons,CPO Surjeet Singh,48,138
All Seasons,Ajay Kumar,50,137
All Seasons,Ravi Dalal,38,136
All Seasons,Surjeet Narwal,31,133
All Seasons,Mahesh Goud,65,133
All Seasons,Nitin Madane,37,132
All Seasons,Mahendra Ganesh Rajput,62,132
All Seasons,Abolfazl Maghsodloumahali,47,117
All Seasons,Sonu Narwal,33,116
All Seasons,Naveen,35,114
All Seasons,Selvamani K,56,109
All Seasons,More GB,45,108
All Seasons,Tushar Patil,53,104
All Seasons,Vijay,59,99
All Seasons,Surender Singh,48,97
All Seasons,Nitin Rawal,45,91
All Seasons,V. Ajith Kumar,17,89
All Seasons,Athul MS,38,88
All Seasons,Pankaj Mohite,16,84
All Seasons,Ajinkya Ashok Pawar,31,73
All Seasons,Ran Singh,118,72
All Seasons,Shrikant Tewthia,71,66
All Seasons,Vinay,19,66
All Seasons,Darshan Kadian,39,66
All Seasons,Rohit Kumar Choudary,38,64
All Seasons,Sunil Jaipal,38,63
All Seasons,Monu,52,62
All Seasons,Mohammad Esmaeil Nabibakhsh,20,60
All Seasons,Arjun Deshwal,19,60
All Seasons,Gurvinder Singh,45,59
All Seasons,Mohsen Maghsoudloujafari,46,55
All Seasons,Dong Geon Lee,33,54
All Seasons,Bhupender Singh,47,48
All Seasons,Jitesh Joshi,19,43
All Seasons,Pravin Niwale,17,43
All Seasons,Vinod Kumar,29,43
All Seasons,Farhad Rahimi Milaghardan,58,42
All Seasons,Sonu Jaglan,15,42
All Seasons,Surender Gill,15,41
All Seasons,Vinod Kumar,47,41
All Seasons,Mahipal Narwal,34,40
All Seasons,Kuldeep Singh,66,39
All Seasons,Sumit Singh,32,39
All Seasons,Rajnish,14,39
All Seasons,Ashish Kumar,83,37
All Seasons,Rakesh Narwal,26,37
All Seasons,Suraj Desai,12,35
All Seasons,Vineet Sharma,41,34
All Seasons,Akshay Jadhav,29,34
All Seasons,Ravindra Ramesh Kumawat,19,34
All Seasons,Harish Naik,21,34
All Seasons,Anand Patil,26,33
All Seasons,Amit Om Prakash Rathi,16,33
All Seasons,Yogesh Hooda,21,29
All Seasons,Dharmaraj Cheralathan,116,29
All Seasons,R. Sriram,15,29
All Seasons,Vikas Jaglan,46,28
All Seasons,Suresu Kumar,21,26
All Seasons,Vikas Kumar,14,26
All Seasons,Mohammad Esmaeil Maghsoudlou Mahalli,17,25
All Seasons,Vinoth Kumar,17,25
All Seasons,Ajit Singh,17,24
All Seasons,Rakshith,17,23
All Seasons,Sachin Kumar,46,21
All Seasons,Manpreet Singh,13,20
All Seasons,Rakesh Gowda,9,20
All Seasons,Mangesh Bhagat,8,19
All Seasons,Pradeep Kumar,10,19
All Seasons,Dinesh Kumar,8,17
All Seasons,Azad Singh,13,17
All Seasons,Amit Kumar,19,16
All Seasons,Umesh Mhatre,13,16
All Seasons,Manoj Kumar,52,16
All Seasons,Surender Nada,71,15
All Seasons,Armaan,10,15
All Seasons,Amit Nagar,12,14
All Seasons,Gangadhari Mallesh,36,14
