Season,PlayerName,MatchesPlayed,Raid points
All Seasons,Pardeep Narwal,104,1101
All Seasons,Rahul Chaudhari,120,943
All Seasons,Deepak Niwas Hooda,123,856
All Seasons,Ajay Thakur,115,790
All Seasons,Maninder Singh,79,731
All Seasons,Rohit Kumar,89,664
All Seasons,Rishank Devadiga,117,595
All Seasons,Pawan Kumar Sehrawat,75,578
All Seasons,Kashiling Adake,92,561
All Seasons,Anup Kumar,91,527
All Seasons,Jang Kun Lee,103,460
All Seasons,Monu Goyat,69,453
All Seasons,Sachin Tanwar,63,433
All Seasons,Nitin Tomar,66,431
All Seasons,Naveen Kumar,42,428
All Seasons,Siddharth Sirish Desai,39,392
All Seasons,Sukesh Hegde,97,392
All Seasons,Vikash Kandola,51,386
All Seasons,Jasvir Singh,77,380
All Seasons,Prashanth Kumar Rai,94,370
All Seasons,K. Prapanjan,81,363
All Seasons,Shrikant Jadhav,72,358
All Seasons,Meraj Sheykh,95,339
All Seasons,Chandran Ranjit,61,316
All Seasons,Deepak Narwal,81,311
All Seasons,Nilesh Salunke,79,303
All Seasons,Rajesh Narwal,92,284
All Seasons,Wazir Singh,47,278
All Seasons,Pawan Kumar Kadian,74,277
All Seasons,Rohit Baliyan,68,269
All Seasons,Rajesh Mondal,89,260
All Seasons,Sandeep Narwal,120,247
All Seasons,Manjeet Chhillar,108,224
All Seasons,Shabeer Bappu,74,213
All Seasons,Rohit Gulia,58,211
All Seasons,Manjeet,42,191
All Seasons,Rakesh Kumar,55,186
All Seasons,Ajay Kumar,50,182
All Seasons,Deepak Kumar Dahiya,53,181
All Seasons,Mahendra Ganesh Rajput,62,180
All Seasons,CPO Surjeet Singh,48,176
All Seasons,Ravi Dalal,38,173
All Seasons,Abhishek Singh,32,165
All Seasons,Nitin Madane,37,165
All Seasons,Mahesh Goud,65,165
All Seasons,Surjeet Narwal,31,160
All Seasons,Selvamani K,56,150
All Seasons,Naveen,35,144
All Seasons,Abolfazl Maghsodloumahali,47,144
All Seasons,Sonu Narwal,33,138
All Seasons,Surender Singh,48,136
All Seasons,More GB,45,136
All Seasons,Tushar Patil,53,135
All Seasons,Vijay,59,127
All Seasons,Nitin Rawal,45,122
All Seasons,Athul MS,38,114
All Seasons,Pankaj Mohite,16,110
All Seasons,V. Ajith Kumar,17,107
All Seasons,Ran Singh,118,99
All Seasons,Rohit Kumar Choudary,38,93
All Seasons,Vinay,19,92
All Seasons,Ajinkya Ashok Pawar,31,90
All Seasons,Darshan Kadian,39,89
All Seasons,Sunil Jaipal,38,87
All Seasons,Gurvinder Singh,45,82
All Seasons,Arjun Deshwal,19,80
All Seasons,Shrikant Tewthia,71,78
All Seasons,Mohammad Esmaeil Nabibakhsh,20,75
All Seasons,Mohsen Maghsoudloujafari,46,75
All Seasons,Monu,52,75
All Seasons,Dong Geon Lee,33,71
All Seasons,Bhupender Singh,47,71
All Seasons,Pravin Niwale,17,62
All Seasons,Vinod Kumar,47,62
All Seasons,Kuldeep Singh,66,59
All Seasons,Mahipal Narwal,34,57
All Seasons,Sumit Singh,32,54
All Seasons,Surender Gill,15,54
All Seasons,Jitesh Joshi,19,53
All Seasons,Rakesh Narwal,26,53
All Seasons,Farhad Rahimi Milaghardan,58,53
All Seasons,Sonu Jaglan,15,52
All Seasons,Rajnish,14,52
All Seasons,Vinod Kumar,29,52
All Seasons,Amit Om Prakash Rathi,16,46
All Seasons,Anand Patil,26,46
All Seasons,Ashish Kumar,83,46
All Seasons,Harish Naik,21,45
All Seasons,Suraj Desai,12,44
All Seasons,Vikas Jaglan,46,43
All Seasons,Dharmaraj Cheralathan,116,43
All Seasons,Ravindra Ramesh Kumawat,19,42
All Seasons,Vineet Sharma,41,41
All Seasons,Akshay Jadhav,29,37
All Seasons,R. Sriram,15,35
All Seasons,Yogesh Hooda,21,35
All Seasons,Ajit Singh,17,32
All Seasons,Suresu Kumar,21,31
All Seasons,Mohammad Esmaeil Maghsoudlou Mahalli,17,31
All Seasons,Vikas Kumar,14,30
All Seasons,Vinoth Kumar,17,30
All Seasons,Mangesh Bhagat,8,27
All Seasons,Azad Singh,13,27
All Seasons,Rakshith,17,26
All Seasons,Sachin Kumar,46,26
All Seasons,Manoj Kumar,52,25
All Seasons,Amit Kumar,19,25
All Seasons,Pradeep Kumar,10,24
All Seasons,Manpreet Singh,13,24
All Seasons,Suresh Kumar,11,22
All Seasons,Armaan,10,22
All Seasons,Rakesh Gowda,9,22
All Seasons,Parmod Narwal,35,21
All Seasons,Ashish Chhokar,12,21
All Seasons,Surender Nada,71,21
All Seasons,Sushil Gulia,7,19
All Seasons,Gangadhari Mallesh,36,19
All Seasons,Umesh Mhatre,13,19
All Seasons,Dinesh Kumar,8,19
All Seasons,Banty,11,18
All Seasons,Kalimuthu Balamahendran,23,18
All Seasons,D. Pradap,29,18
All Seasons,Nilesh Shinde,69,18
All Seasons,Shyam Kumar Sah,27,17
All Seasons,Amit Nagar,12,17
All Seasons,Amit Kumar,6,16
All Seasons,Anil Shriram Nimbolkar,6,15
All Seasons,Sanjay Kumar,8,15
All Seasons,Hadi Oshtorak,69,15
All Seasons,Preetam Chhillar,58,15
All Seasons,Waleed Al Hasani,6,14
All Seasons,Virender Wazir Singh,7,14
All Seasons,Anand,8,14
All Seasons,Tae Deok Eom,35,14
All Seasons,M. Thivakaran,9,14
All Seasons,Sachin Vittala,26,14
All Seasons,Mohammad Maghshoudulu,18,14
All Seasons,Ravinder Pahal,109,14
All Seasons,Kamal Singh,11,13
All Seasons,Victor Onyango Obiero,6,12
All Seasons,Elangeshwaran R,5,12
All Seasons,Sushant Sail,9,12
All Seasons,Amit Kumar,17,12
All Seasons,Kedar Lal,10,12
All Seasons,Sandeep Kandola,16,11
All Seasons,Isac Antony,9,11
