Season,PlayerName,MatchesPlayed,Successful tackles
All Seasons,Manjeet Chhillar,108,324
All Seasons,Ravinder Pahal,107,293
All Seasons,Fazel Atrachali,97,274
All Seasons,Sandeep Narwal,119,268
All Seasons,Mohit Chhillar,108,254
All Seasons,PO Surjeet Singh,92,250
All Seasons,Girish Maruti Ernak,103,245
All Seasons,Dharmaraj Cheralathan,114,228
All Seasons,Ran Singh,116,214
All Seasons,Amit Hooda,86,211
All Seasons,Surender Nada,71,206
All Seasons,Jeeva Kumar,111,204
All Seasons,Vishal Mane,123,184
All Seasons,Sandeep Kumar Dhull,64,181
All Seasons,Vishal Bhardwaj,59,176
All Seasons,Nitesh Kumar,61,176
All Seasons,Sunil Kumar,68,167
All Seasons,Parvesh Bhainswal,74,167
All Seasons,Jaideep,67,167
All Seasons,Surinder Singh,62,160
All Seasons,Joginder Singh Narwal,78,158
All Seasons,Mahender Singh,62,153
All Seasons,Abozar Mohajermighani,63,146
All Seasons,Ravi Kumar,90,132
All Seasons,Rohit Rana,82,131
All Seasons,Nilesh Shinde,69,121
All Seasons,Sachin Shingade,75,109
All Seasons,Rajesh Narwal,92,105
All Seasons,Kuldeep Singh,66,103
All Seasons,Jasmer Singh Gulia,52,102
All Seasons,Ashish Kumar,83,98
All Seasons,Sunil,63,98
All Seasons,D. Suresh Kumar,59,91
All Seasons,Bajirao Hodage,61,90
All Seasons,C. Arun,87,90
All Seasons,Hadi Oshtorak,69,90
All Seasons,Vikas Kale,57,88
All Seasons,Rinku Narwal,47,85
All Seasons,Somvir Shekhar,61,82
All Seasons,Sunil,37,82
All Seasons,Deepak Niwas Hooda,123,79
All Seasons,Amit Sheoran,38,76
All Seasons,Baldev Singh,37,75
All Seasons,Anil Kumar,52,70
All Seasons,Shrikant Tewthia,71,70
All Seasons,Rakesh Kumar,55,68
All Seasons,Farhad Rahimi Milaghardan,58,66
All Seasons,Sagar B Krishna,59,63
All Seasons,Anup Kumar,91,61
All Seasons,Neeraj Kumar,36,59
All Seasons,Kuldeep Singh,36,59
All Seasons,Sumit,17,58
All Seasons,Monu,52,57
All Seasons,Vijay,57,57
All Seasons,Sandeep Kandola,16,55
All Seasons,Amit Singh Chhillar,35,55
All Seasons,Ruturaj Shivaji Koravi,36,54
All Seasons,Rahul Chaudhari,118,53
All Seasons,Rajaguru Subramanian,46,51
All Seasons,Sunil Siddhgavali,42,51
All Seasons,Jawahar Dagar,46,50
