Season,PlayerName,MatchesPlayed,Tackle points
All Seasons,Manjeet Chhillar,108,339
All Seasons,Ravinder Pahal,109,320
All Seasons,Sandeep Narwal,120,296
All Seasons,Fazel Atrachali,98,295
All Seasons,Mohit Chhillar,109,277
All Seasons,PO Surjeet Singh,92,266
All Seasons,Girish Maruti Ernak,104,259
All Seasons,Dharmaraj Cheralathan,116,257
All Seasons,Ran Singh,118,229
All Seasons,Amit Hooda,86,229
All Seasons,Jeeva Kumar,112,227
All Seasons,Surender Nada,71,222
All Seasons,Sandeep Kumar Dhull,64,201
All Seasons,Vishal Bhardwaj,59,198
All Seasons,Nitesh Kumar,62,197
All Seasons,Vishal Mane,125,194
All Seasons,Parvesh Bhainswal,76,185
All Seasons,Sunil Kumar,68,179
All Seasons,Jaideep,67,177
All Seasons,Joginder Singh Narwal,80,170
All Seasons,Mahender Singh,62,166
All Seasons,Surinder Singh,63,165
All Seasons,Abozar Mohajermighani,63,160
All Seasons,Ravi Kumar,92,156
All Seasons,Rohit Rana,82,136
All Seasons,Nilesh Shinde,69,135
All Seasons,Kuldeep Singh,66,123
All Seasons,Sachin Shingade,75,119
All Seasons,Rajesh Narwal,92,113
All Seasons,Ashish Kumar,83,111
All Seasons,Jasmer Singh Gulia,52,109
All Seasons,C. Arun,87,107
All Seasons,Sunil,63,105
All Seasons,Hadi Oshtorak,69,104
All Seasons,D. Suresh Kumar,59,103
All Seasons,Vikas Kale,59,98
All Seasons,Bajirao Hodage,61,95
All Seasons,Rinku Narwal,48,94
All Seasons,Deepak Niwas Hooda,123,87
All Seasons,Sunil,39,87
All Seasons,Somvir Shekhar,61,86
All Seasons,Baldev Singh,38,86
All Seasons,Amit Sheoran,38,81
All Seasons,Anil Kumar,54,81
All Seasons,Shrikant Tewthia,71,79
All Seasons,Rakesh Kumar,55,74
All Seasons,Farhad Rahimi Milaghardan,58,74
All Seasons,Sagar B Krishna,60,70
All Seasons,Anup Kumar,91,69
All Seasons,Monu,52,67
All Seasons,Neeraj Kumar,36,64
All Seasons,Kuldeep Singh,36,64
All Seasons,Ruturaj Shivaji Koravi,38,62
All Seasons,Vijay,59,61
All Seasons,Sumit,18,61
All Seasons,Vishal,25,59
All Seasons,Sandeep Kandola,16,59
All Seasons,Amit Singh Chhillar,35,59
All Seasons,Manoj Kumar,52,59
All Seasons,Rahul Chaudhari,120,59
All Seasons,Sunil Siddhgavali,42,58
All Seasons,Jawahar Dagar,46,56
All Seasons,Prashant Chavan,41,56
All Seasons,Rajaguru Subramanian,46,54
All Seasons,Meraj Sheykh,95,54
All Seasons,Sachin Kumar,46,53
All Seasons,Kashiling Adake,92,51
All Seasons,Rakesh Singh Kumar,49,49
All Seasons,Vinod Kumar,27,48
All Seasons,D. Gopu,34,47
All Seasons,Vinod Kumar,47,47
All Seasons,Saurabh Nandal,18,47
All Seasons,Darshan J.,29,46
All Seasons,Sachin Khambe,22,46
All Seasons,Rishank Devadiga,117,46
All Seasons,Nitin Rawal,45,45
All Seasons,Santhapanaselvam,32,43
All Seasons,Manjeet,42,42
All Seasons,Narender,28,42
All Seasons,Sombir,31,41
All Seasons,Kuldeep Singh,20,40
All Seasons,Rohit Kumar,89,39
All Seasons,Satpal,22,38
All Seasons,Pankaj,23,38
All Seasons,Sunil Jaipal,38,38
All Seasons,Manish,40,37
All Seasons,Mohsen Maghsoudloujafari,46,36
All Seasons,Shyam Kumar Sah,27,36
All Seasons,Vikas Jaglan,46,35
All Seasons,More GB,45,35
All Seasons,Jadhav Balasaheb Shahaji,18,35
All Seasons,Pawan Kumar Sehrawat,75,34
All Seasons,D. Pradap,29,33
All Seasons,Ziaur Rahman,34,32
All Seasons,Jasvir Singh,77,32
All Seasons,Vijin Thangadurai,51,32
All Seasons,Ashu Singh,18,32
All Seasons,Preetam Chhillar,58,30
All Seasons,Mahipal Narwal,34,30
All Seasons,Rohit Baliyan,68,29
All Seasons,Viraj Vishnu Landge,34,29
All Seasons,Sachin Tanwar,63,29
All Seasons,Amit,32,29
All Seasons,Shubham Shinde,23,29
All Seasons,Parveen,25,29
All Seasons,Parmod Narwal,35,28
All Seasons,Wasim Sajjad,17,27
All Seasons,Sidharth,21,27
All Seasons,Mayur Shivtarkar,30,26
All Seasons,Vikash,19,26
All Seasons,Gurpreet Singh,18,26
All Seasons,Kalimuthu Balamahendran,23,25
All Seasons,Sachin Vittala,26,25
All Seasons,Mohammad Esmaeil Nabibakhsh,20,25
All Seasons,Akshay Jadhav,29,25
All Seasons,Anil Kumar,19,24
All Seasons,Vineet Sharma,41,24
All Seasons,Manoj Dhull,27,24
All Seasons,Mahesh Goud,65,24
All Seasons,Jang Kun Lee,103,23
All Seasons,Raju Lal Choudhary,23,23
All Seasons,Shabeer Bappu,74,23
All Seasons,Nitin Tomar,66,23
All Seasons,Young Chang Ko,37,23
All Seasons,Monu Goyat,69,22
All Seasons,Hadi Tajik,28,22
All Seasons,Rahul Kumar,30,22
All Seasons,Wazir Singh,47,22
All Seasons,Gangadhari Mallesh,36,22
All Seasons,Ajay Thakur,115,21
All Seasons,Navneet Gautam,31,21
All Seasons,Swapnil Dilip Shinde,21,21
All Seasons,Somvir,16,21
All Seasons,Amit Kumar,17,21
All Seasons,Ponparthiban Subramanian,19,20
All Seasons,Amit Kumar,19,20
All Seasons,Vijendar Singh,8,20
All Seasons,Shrikant Jadhav,72,20
All Seasons,Nitin More,22,19
All Seasons,Samarjeet Singh,22,19
All Seasons,Sandeep,14,19
All Seasons,Harendra Kumar,17,19
All Seasons,Gurvinder Singh,45,18
All Seasons,Dadaso Balaso Awad,12,17
All Seasons,Krushna Madane,16,17
All Seasons,S Mahalingam,11,16
All Seasons,Jitesh Joshi,19,16
All Seasons,Naveen,35,16
All Seasons,Adarsh T,19,15
All Seasons,Sumit Malik,14,15
All Seasons,Ram Kumar Sah,11,15
All Seasons,Sukesh Hegde,97,15
All Seasons,Mahendra Ganesh Rajput,62,15
All Seasons,Sanket Chavan,13,15
All Seasons,Deepak Kumar Rathee,20,15
All Seasons,Rohit Gulia,58,15
All Seasons,Nilesh Salunke,79,14
All Seasons,Sagar Khatale,12,14
All Seasons,Surjeet Narwal,31,14
All Seasons,Rupesh Tomar,15,14
All Seasons,Ajeet,14,14
All Seasons,Sagar,11,13
All Seasons,Ankit,12,13
All Seasons,Deepak Narwal,81,13
All Seasons,Amit Kumar,11,13
All Seasons,Deepak Dhull,10,12
All Seasons,Jeeva Gopal,24,12
All Seasons,Bhupender Singh,47,12
All Seasons,N. Renjith,11,12
All Seasons,Pavan T. R.,15,12
All Seasons,Mohit Sehrawat,13,12
All Seasons,M. Abishek,7,11
All Seasons,Yatharth Deshwal,6,11
All Seasons,Vijay Kumar,21,11
All Seasons,Darshan Kadian,39,11
All Seasons,Seong Ryeol Kim,15,11
All Seasons,G.S. Manikandan,20,11
All Seasons,Vijender Singh,8,10
All Seasons,Yogesh Hooda,21,10
All Seasons,Chandran Ranjit,61,10
All Seasons,Rajesh Mondal,89,10
All Seasons,Ravinder Kumar,12,10
All Seasons,Tapas Pal,7,10
All Seasons,Rakesh Gowda,9,9
All Seasons,Sumit Singh,32,9
All Seasons,Vinod Kumar,29,9
All Seasons,Vikash Kandola,51,9
All Seasons,Umesh Mhatre,13,9
All Seasons,Santhosh B.S,9,9
All Seasons,Maninder Singh,79,9
All Seasons,Surender Singh,48,9
All Seasons,Deepak Kumar,7,9
All Seasons,Prashanth Kumar Rai,94,9
All Seasons,Ankit,13,9
All Seasons,Deepak Kumar Dahiya,53,8
All Seasons,Harvinder Singh,4,8
All Seasons,CPO Surjeet Singh,48,8
All Seasons,Nitin Madane,37,8
All Seasons,Tae Deok Eom,35,8
All Seasons,Abolfazl Maghsodloumahali,47,8
All Seasons,Saeid Ghaffari,9,8
All Seasons,Deepak Yadav,7,8
All Seasons,Surender Gill,15,8
All Seasons,Anil Kumar,6,8
All Seasons,Abhishek Singh,32,7
All Seasons,Mohammad Esmaeil Maghsoudlou Mahalli,17,7
All Seasons,Ravindra Ramesh Kumawat,19,7
All Seasons,Pardeep Narwal,104,7
All Seasons,Naveen Kumar,42,7
All Seasons,Lalit Chaudhary,7,7
All Seasons,Sanket Sawant,5,7
All Seasons,Chand Singh,9,6
All Seasons,Ajay,16,6
All Seasons,K. Prapanjan,81,6
All Seasons,Amit Om Prakash Rathi,16,6
All Seasons,Ravi Dalal,38,6
All Seasons,Amit Nagar,12,6
All Seasons,Selvamani K,56,6
All Seasons,Siddharth Sirish Desai,39,6
All Seasons,Amit Kharb,11,5
All Seasons,Vikash,4,5
All Seasons,Vikas Kumar,14,5
All Seasons,Gurvinder Singh,5,5
All Seasons,Parvesh,6,5
All Seasons,Sandeep,6,5
All Seasons,Jagdeesha K.K.,7,5
All Seasons,Manpreet Singh,13,5
All Seasons,T. Prasad,9,5
All Seasons,Varinder Singh,8,5
All Seasons,Parveen M. Jangra,6,5
All Seasons,Vikas Tomar,9,5
All Seasons,Anuj Kumar,7,5
All Seasons,Kamal Singh,11,4
All Seasons,C Manoj Kumar,12,4
All Seasons,Sudhanshu Tyagi,13,4
All Seasons,Sonu Jaglan,15,4
All Seasons,Vinay,19,4
All Seasons,Ajinkya Ashok Pawar,31,4
All Seasons,Elavarasan A,3,4
All Seasons,Suresu Kumar,21,4
All Seasons,Ashish Chhokar,12,4
All Seasons,Rajeev Kumar,3,4
All Seasons,Tushar Patil,53,4
All Seasons,Isac Antony,9,4
All Seasons,Anil Shriram Nimbolkar,6,4
All Seasons,E Subash,4,4
All Seasons,Elangeshwaran R,5,4
All Seasons,Satish,10,3
All Seasons,Muruthu M,3,3
All Seasons,Tushar Balaram Bhoir,10,3
All Seasons,Rohit Kumar Choudary,38,3
All Seasons,Gurchet Singh,4,3
All Seasons,Parveen Kumar,8,3
All Seasons,Ravinder,5,3
All Seasons,Pankaj Mohite,16,3
All Seasons,Banty,11,3
All Seasons,Armaan,10,2
All Seasons,Azad Singh,13,2
All Seasons,Mohit Balyan,1,2
All Seasons,Amit Kumar,6,2
All Seasons,Pravin Niwale,17,2
All Seasons,Punit Kumar Teotia,4,2
All Seasons,Gokul Shitole,4,2
All Seasons,Sunil Hanumanthappa,5,2
All Seasons,Ehsan Zamani Fard,8,2
All Seasons,Farhad Kamal Gharibi,2,2
All Seasons,Simon Kibura,9,2
All Seasons,Pawan Kumar Kadian,74,2
All Seasons,Pradeep Kumar,10,2
All Seasons,Anoop E.V.,3,2
All Seasons,Rakesh Narwal,26,2
All Seasons,Sandeep Malik,1,2
All Seasons,Aman Kumar,4,2
All Seasons,Rakshith,17,2
All Seasons,Arjun Deshwal,19,2
All Seasons,Gurdeep,2,2
All Seasons,Victor Onyango Obiero,6,2
All Seasons,Rajnish,14,2
All Seasons,Lokesh Kaushik,7,2
All Seasons,Prateek,6,2
All Seasons,M. Thivakaran,9,2
All Seasons,N. Shiva Ramakrishna,1,2
All Seasons,Babu M,2,2
All Seasons,Gnanasekaran M,8,2
All Seasons,Shashank Wankhede,5,2
All Seasons,Amit Kumar Tomar,9,2
All Seasons,Sushil Vijay Bhosle,2,2
All Seasons,Kuldeep,5,2
All Seasons,Ajay Kumar,50,1
All Seasons,Vishnu Uthaman,3,1
All Seasons,Mohammad Taghi Paein Mahali,3,1
All Seasons,Ajay Singh,1,1
All Seasons,Athul MS,38,1
All Seasons,Ravinandan G.M.,1,1
All Seasons,Navjot Singh,1,1
All Seasons,Nirbhay Narwal,2,1
All Seasons,Hardeep Duhan,1,1
All Seasons,Sanju,4,1
All Seasons,Virender Wazir Singh,7,1
All Seasons,Hyunil Park,2,1
All Seasons,Ajvender Singh,2,1
All Seasons,Rohit Kumar,7,1
All Seasons,R. Sriram,15,1
All Seasons,Rahul Choudhary,5,1
All Seasons,Sanoj Kumar,2,1
All Seasons,Anand Surendra Tomar,5,1
All Seasons,Mohammad Maghshoudulu,18,1
All Seasons,Adinath Sakharam Gavali,1,1
All Seasons,Jishnu,3,1
All Seasons,Ravit Kumar,3,1
All Seasons,Sanjay Kumar,8,1
All Seasons,Amit Kumar,1,1
All Seasons,Mangesh Bhagat,8,1
All Seasons,Rohit Kumar Prajapat,3,1
All Seasons,Kedar Lal,10,1
All Seasons,Sunil Subhash Lande,4,1
All Seasons,Takamitsu Kono,1,1
All Seasons,Sinotharan Kanesharajah,3,1
All Seasons,Atif Waheed,3,1
All Seasons,Wajid Ali,4,1
All Seasons,Nithesh B R,2,1
All Seasons,Suraj Desai,12,1
All Seasons,Naveen Narwal,3,1
All Seasons,Sumit,2,1
All Seasons,Ankush,3,1
All Seasons,Ankit Beniwal,7,1
All Seasons,Vikram Kandola,3,1
All Seasons,Aman Kadian,4,1
All Seasons,Sushil Gulia,7,1
All Seasons,Aman,2,1
All Seasons,Himanshu,3,1
All Seasons,Sachin Narwal,12,1
All Seasons,Hemant Chauhan,3,1
All Seasons,Satywan,1,1
All Seasons,Aashish Nagar,3,1
Season 7,Sandeep Kumar Dhull,20,67
Season 7,Vishal Bhardwaj,18,61
Season 7,Sumit,18,61
Season 7,Fazel Atrachali,19,60
Season 7,Baldev Singh,20,59
Season 7,Ravinder Pahal,20,57
Season 7,Rinku Narwal,20,53
Season 7,Neeraj Kumar,19,51
Season 7,PO Surjeet Singh,19,51
Season 7,Nitesh Kumar,18,50
Season 7,Jaideep,19,48
Season 7,Parvesh Bhainswal,20,48
Season 7,Saurabh Nandal,18,47
Season 7,Sunil,17,46
Season 7,Mahender Singh,16,46
Season 7,Sunil Kumar,18,46
Season 7,Joginder Singh Narwal,20,46
Season 7,Surinder Singh,19,45
Season 7,Amit Sheoran,19,43
Season 7,Sandeep Narwal,19,42
Season 7,Dharmaraj Cheralathan,17,41
Season 7,Vishal,14,41
Season 7,Ravi Kumar,17,40
Season 7,Abozar Mohajermighani,18,39
Season 7,Vikas Kale,18,38
Season 7,Manjeet Chhillar,15,37
Season 7,Mohit Chhillar,18,37
Season 7,Amit Hooda,14,36
Season 7,Hadi Oshtorak,19,35
Season 7,Jadhav Balasaheb Shahaji,18,35
Season 7,Ashu Singh,18,32
Season 7,Jeeva Kumar,19,32
Season 7,Girish Maruti Ernak,15,31
Season 7,Anil Kumar,16,30
Season 7,Ran Singh,19,30
Season 7,Farhad Rahimi Milaghardan,18,27
Season 7,Manjeet,20,27
Season 7,Monu,19,25
Season 7,Mohammad Esmaeil Nabibakhsh,20,25
Season 7,Vishal Mane,20,24
Season 7,Amit,18,23
Season 7,More GB,17,21
Season 7,C. Arun,18,21
Season 7,Pankaj,9,21
Season 7,Amit Kumar,13,20
Season 7,Harendra Kumar,17,19
Season 7,Nitin Rawal,15,19
Season 7,Shubham Shinde,13,17
Season 7,Hadi Tajik,12,16
Season 7,Vikas Jaglan,19,16
Season 7,Sumit Malik,14,15
Season 7,Ruturaj Shivaji Koravi,15,15
Season 7,Ajeet,14,14
Season 7,Pawan Kumar Sehrawat,19,14
Season 7,Sagar B Krishna,12,14
Season 7,Santhapanaselvam,8,14
Season 7,Sagar,11,13
Season 7,Ankit,12,13
Season 7,Pavan T. R.,15,12
Season 7,Mohit Sehrawat,13,12
Season 7,Deepak Niwas Hooda,20,12
Season 7,Vijay,19,11
Season 7,M. Abishek,7,11
Season 7,Amit Kumar,9,10
Season 7,Rakesh Gowda,9,9
Season 7,Rohit Gulia,20,9
Season 7,Sunil Siddhgavali,14,9
Season 7,Kuldeep Singh,9,8
Season 7,Surender Gill,15,8
Season 7,Saeid Ghaffari,9,8
Season 7,Rahul Chaudhari,20,8
Season 7,Shabeer Bappu,14,7
Season 7,Vineet Sharma,11,7
Season 7,Mohammad Esmaeil Maghsoudlou Mahalli,17,7
Season 7,Viraj Vishnu Landge,8,7
Season 7,Sanket Sawant,5,7
Season 7,Chand Singh,9,6
Season 7,Ankit,7,6
Season 7,Mayur Shivtarkar,7,6
Season 7,Young Chang Ko,10,6
Season 7,Nitin Tomar,13,6
Season 7,Krushna Madane,9,6
Season 7,Ashish Kumar,7,5
Season 7,Jawahar Dagar,7,5
Season 7,Vijay Kumar,9,5
Season 7,Vinod Kumar,9,4
Season 7,Parveen,6,4
Season 7,Sonu Jaglan,15,4
Season 7,Vinay,19,4
Season 7,Elavarasan A,3,4
Season 7,Vikash Kandola,16,4
Season 7,Rohit Kumar,17,4
Season 7,Rohit Baliyan,16,4
Season 7,Sachin Kumar,12,4
Season 7,Chandran Ranjit,19,4
Season 7,Shrikant Jadhav,18,3
Season 7,Sumit Singh,15,3
Season 7,Monu Goyat,10,3
Season 7,Mohsen Maghsoudloujafari,11,3
Season 7,Ravinder,5,3
Season 7,Pankaj Mohite,16,3
Season 7,Banty,11,3
Season 7,Ponparthiban Subramanian,7,3
Season 7,Adarsh T,9,3
Season 7,Amit Kharb,5,3
Season 7,Lalit Chaudhary,4,3
Season 7,Siddharth Sirish Desai,18,3
Season 7,Arjun Deshwal,16,2
Season 7,Kamal Singh,3,2
Season 7,Mohit Balyan,1,2
Season 7,Rajnish,10,2
Season 7,Gurdeep,2,2
Season 7,Victor Onyango Obiero,3,2
Season 7,Sandeep,1,2
Season 7,Naveen Kumar,20,2
Season 7,Ajay,9,2
Season 7,Naveen,14,2
Season 7,Amit Kumar,6,2
Season 7,Nilesh Salunke,17,2
Season 7,Rajaguru Subramanian,5,2
Season 7,K. Prapanjan,18,2
Season 7,Selvamani K,7,2
Season 7,Deepak Narwal,17,1
Season 7,Meraj Sheykh,13,1
Season 7,Surender Singh,4,1
Season 7,Rishank Devadiga,14,1
Season 7,Jang Kun Lee,13,1
Season 7,Sukesh Hegde,13,1
Season 7,Suraj Desai,12,1
Season 7,Darshan Kadian,7,1
Season 7,Ravindra Ramesh Kumawat,3,1
Season 7,Sombir,8,1
Season 7,Mohammad Taghi Paein Mahali,3,1
Season 7,Naveen Narwal,3,1
Season 7,Sumit,2,1
Season 7,Sushil Gulia,7,1
Season 7,Aman,2,1
Season 7,Aman Kadian,3,1
Season 7,Hemant Chauhan,3,1
Season 7,Satywan,1,1
Season 7,Himanshu,3,1
Season 7,Sachin Narwal,12,1
Season 7,Sachin Tanwar,16,1
Season 7,Ankush,3,1
Season 7,Ankit Beniwal,6,1
Season 7,Abhishek Singh,17,1
Season 6,Nitesh Kumar,25,100
Season 6,Parvesh Bhainswal,25,86
Season 6,Fazel Atrachali,23,83
Season 6,Sunil Kumar,25,76
Season 6,Sandeep Kumar Dhull,22,67
Season 6,Mahender Singh,24,63
Season 6,Surender Singh,22,62
Season 6,Vishal Bhardwaj,17,60
Season 6,Manjeet Chhillar,19,59
Season 6,Ravinder Pahal,22,59
Season 6,Jaideep,22,58
Season 6,Abozar Mohajermighani,21,56
Season 6,Girish Maruti Ernak,20,56
Season 6,PO Surjeet Singh,23,54
Season 6,Joginder Singh Narwal,22,51
Season 6,Amit Hooda,18,49
Season 6,Kuldeep Singh,22,49
Season 6,Ruturaj Shivaji Koravi,23,47
Season 6,Sachin Kumar,25,43
Season 6,Ran Singh,22,42
Season 6,Narender,25,42
Season 6,Sunil,22,41
Season 6,Sandeep Narwal,18,41
Season 6,Jeeva Kumar,19,40
Season 6,Dharmaraj Cheralathan,22,40
Season 6,Ravi Kumar,22,40
Season 6,Ashish Kumar,24,40
Season 6,Vikas Kale,22,39
Season 6,Vishal Mane,22,38
Season 6,Rohit Rana,19,38
Season 6,Amit Sheoran,15,38
Season 6,Sunil Siddhgavali,16,33
Season 6,Mohit Chhillar,14,31
Season 6,Anil Kumar,18,29
Season 6,Vinod Kumar,17,29
Season 6,Baldev Singh,18,27
Season 6,Mohsen Maghsoudloujafari,19,27
Season 6,Farhad Rahimi Milaghardan,22,25
Season 6,Parveen,19,25
Season 6,Sachin Vittala,22,25
Season 6,Sachin Shingade,19,25
Season 6,Amit Kumar,17,21
Season 6,Raju Lal Choudhary,16,20
Season 6,Rinku Narwal,15,20
Season 6,Jawahar Dagar,15,20
Season 6,Mayur Shivtarkar,18,19
Season 6,Sagar B Krishna,20,18
Season 6,Kashiling Adake,20,17
Season 6,Ponparthiban Subramanian,12,17
Season 6,Vikas Jaglan,14,16
Season 6,Sandeep,10,16
Season 6,Young Chang Ko,13,15
Season 6,Manish,17,15
Season 6,Manjeet,22,15
Season 6,Satpal,12,14
Season 6,Sachin Tanwar,23,14
Season 6,Santhapanaselvam,14,14
Season 6,Rohit Baliyan,19,14
Season 6,Naveen,21,14
Season 6,Sunil,11,13
Season 6,Rajesh Narwal,16,13
Season 6,D. Pradap,13,13
Season 6,Akshay Jadhav,18,13
Season 6,Vijay,21,13
Season 6,More GB,22,12
Season 6,Monu,14,12
Season 6,Adarsh T,10,12
Season 6,Ziaur Rahman,18,12
Season 6,Deepak Niwas Hooda,22,12
Season 6,Anup Kumar,13,12
Season 6,Hadi Oshtorak,13,12
Season 6,Shubham Shinde,10,12
Season 6,Pawan Kumar Sehrawat,24,11
