Season,PlayerName,MatchesPlayed,Avg raid points
All Seasons,Pardeep Narwal,104,10.69
All Seasons,Naveen Kumar,42,10.19
All Seasons,Siddharth Sirish Desai,39,10.05
All Seasons,Maninder Singh,79,9.25
All Seasons,Pawan Kumar Sehrawat,75,8.03
All Seasons,Rahul Chaudhari,120,7.86
All Seasons,Vikash Kandola,51,7.57
All Seasons,Rohit Kumar,89,7.55
All Seasons,Deepak Niwas Hooda,123,6.96
All Seasons,Pankaj Mohite,16,6.88
All Seasons,Sachin Tanwar,63,6.87
All Seasons,Ajay Thakur,115,6.87
All Seasons,V. Ajith Kumar,17,6.69
All Seasons,Nitin Tomar,66,6.63
All Seasons,Monu Goyat,69,6.57
All Seasons,Kashiling Adake,92,6.1
All Seasons,Wazir Singh,47,6.04
All Seasons,Anup Kumar,91,5.79
All Seasons,Chandran Ranjit,61,5.18
All Seasons,Surjeet Narwal,31,5.16
All Seasons,Abhishek Singh,32,5.16
All Seasons,Shrikant Jadhav,72,5.11
All Seasons,Rishank Devadiga,117,5.09
All Seasons,Jasvir Singh,77,5
All Seasons,Vinay,19,4.84
All Seasons,Manjeet,42,4.55
All Seasons,Ravi Dalal,38,4.55
All Seasons,K. Prapanjan,81,4.54
All Seasons,Jang Kun Lee,103,4.47
All Seasons,Nitin Madane,37,4.46
All Seasons,Arjun Deshwal,19,4.21
All Seasons,Sonu Narwal,33,4.18
All Seasons,Naveen,35,4.11
All Seasons,Rohit Baliyan,68,4.08
All Seasons,Prashanth Kumar Rai,94,4.07
All Seasons,Sukesh Hegde,97,4.04
All Seasons,Suraj Desai,12,4
All Seasons,Ravi V.,2,4
All Seasons,Emad Sedaghatnia,2,4
All Seasons,Nilesh Salunke,79,3.99
All Seasons,Deepak Narwal,81,3.89
All Seasons,Pravin Niwale,17,3.88
All Seasons,Pawan Kumar Kadian,74,3.79
All Seasons,Ajay Kumar,50,3.79
All Seasons,Mohammad Esmaeil Nabibakhsh,20,3.75
All Seasons,Rajnish,14,3.71
All Seasons,CPO Surjeet Singh,48,3.67
All Seasons,Rohit Gulia,58,3.64
All Seasons,Meraj Sheykh,95,3.61
All Seasons,Surender Gill,15,3.6
All Seasons,Sonu Jaglan,15,3.47
All Seasons,Deepak Kumar Dahiya,53,3.42
All Seasons,Mangesh Bhagat,8,3.38
All Seasons,Rakesh Kumar,55,3.38
All Seasons,Rajesh Narwal,92,3.26
All Seasons,Abolfazl Maghsodloumahali,47,3.2
All Seasons,Athul MS,38,3.08
All Seasons,More GB,45,3.02
All Seasons,Ajinkya Ashok Pawar,31,3
All Seasons,Pradeep Kumar,10,3
All Seasons,Nitin Rawal,45,2.98
All Seasons,Surender Singh,48,2.96
All Seasons,Mahendra Ganesh Rajput,62,2.95
All Seasons,Rajesh Mondal,89,2.92
All Seasons,Shabeer Bappu,74,2.88
All Seasons,Amit Om Prakash Rathi,16,2.88
