Season,PlayerName,MatchesPlayed,Avg tackle points
All Seasons,Sandeep Kandola,16,3.69
All Seasons,Sumit,18,3.39
All Seasons,Vishal Bhardwaj,59,3.36
All Seasons,Nitesh Kumar,62,3.18
All Seasons,Sandeep Kumar Dhull,64,3.14
All Seasons,Manjeet Chhillar,108,3.14
All Seasons,Surender Nada,71,3.13
All Seasons,Fazel Atrachali,98,3.01
All Seasons,Ravinder Pahal,109,2.94
All Seasons,PO Surjeet Singh,92,2.89
All Seasons,Mahender Singh,62,2.68
All Seasons,Amit Hooda,86,2.66
All Seasons,Jaideep,67,2.64
All Seasons,Sunil Kumar,68,2.63
All Seasons,Surinder Singh,63,2.62
All Seasons,Saurabh Nandal,18,2.61
All Seasons,Abozar Mohajermighani,63,2.54
All Seasons,Mohit Chhillar,109,2.54
All Seasons,Vijendar Singh,8,2.5
All Seasons,Girish Maruti Ernak,104,2.49
All Seasons,Sandeep Narwal,120,2.47
All Seasons,Parvesh Bhainswal,76,2.43
All Seasons,Vishal,25,2.36
All Seasons,Baldev Singh,38,2.26
All Seasons,Sunil,39,2.23
All Seasons,Dharmaraj Cheralathan,116,2.22
All Seasons,Joginder Singh Narwal,80,2.13
All Seasons,Amit Sheoran,38,2.13
All Seasons,Jasmer Singh Gulia,52,2.1
All Seasons,Sachin Khambe,22,2.09
All Seasons,Jeeva Kumar,112,2.03
All Seasons,Kuldeep Singh,20,2
All Seasons,Harvinder Singh,4,2
All Seasons,Nilesh Shinde,69,1.96
All Seasons,Rinku Narwal,48,1.96
All Seasons,Ran Singh,118,1.94
All Seasons,Jadhav Balasaheb Shahaji,18,1.94
All Seasons,Kuldeep Singh,66,1.86
All Seasons,Yatharth Deshwal,6,1.83
All Seasons,Kuldeep Singh,36,1.78
All Seasons,Neeraj Kumar,36,1.78
All Seasons,Vinod Kumar,27,1.78
All Seasons,Ashu Singh,18,1.78
All Seasons,D. Suresh Kumar,59,1.75
All Seasons,Satpal,22,1.73
All Seasons,Ravi Kumar,92,1.7
All Seasons,Amit Singh Chhillar,35,1.69
All Seasons,Sunil,63,1.67
All Seasons,Vikas Kale,59,1.66
All Seasons,Rohit Rana,82,1.66
All Seasons,Pankaj,23,1.65
All Seasons,Ruturaj Shivaji Koravi,38,1.63
All Seasons,Darshan J.,29,1.59
All Seasons,Wasim Sajjad,17,1.59
All Seasons,Sachin Shingade,75,1.59
All Seasons,M. Abishek,7,1.57
All Seasons,Bajirao Hodage,61,1.56
All Seasons,Vishal Mane,125,1.55
All Seasons,Hadi Oshtorak,69,1.51
All Seasons,Narender,28,1.5
All Seasons,Anil Kumar,54,1.5
All Seasons,S Mahalingam,11,1.45
All Seasons,Gurpreet Singh,18,1.44
All Seasons,Tapas Pal,7,1.43
All Seasons,Dadaso Balaso Awad,12,1.42
All Seasons,Somvir Shekhar,61,1.41
All Seasons,Sanket Sawant,5,1.4
All Seasons,D. Gopu,34,1.38
All Seasons,Sunil Siddhgavali,42,1.38
All Seasons,Vikash,19,1.37
All Seasons,Prashant Chavan,41,1.37
All Seasons,Ram Kumar Sah,11,1.36
All Seasons,Sandeep,14,1.36
All Seasons,Rakesh Kumar,55,1.35
All Seasons,Ashish Kumar,83,1.34
All Seasons,Santhapanaselvam,32,1.34
All Seasons,Anil Kumar,6,1.33
All Seasons,Rajeev Kumar,3,1.33
All Seasons,Shyam Kumar Sah,27,1.33
All Seasons,Elavarasan A,3,1.33
All Seasons,Sombir,31,1.32
All Seasons,Somvir,16,1.31
All Seasons,Sidharth,21,1.29
All Seasons,Monu,52,1.29
All Seasons,Deepak Kumar,7,1.29
All Seasons,Farhad Rahimi Milaghardan,58,1.28
All Seasons,Anil Kumar,19,1.26
All Seasons,Shubham Shinde,23,1.26
All Seasons,Mohammad Esmaeil Nabibakhsh,20,1.25
All Seasons,Vikash,4,1.25
All Seasons,Vijender Singh,8,1.25
All Seasons,Amit Kumar,17,1.24
All Seasons,C. Arun,87,1.23
All Seasons,Rajesh Narwal,92,1.23
All Seasons,Jawahar Dagar,46,1.22
All Seasons,Deepak Dhull,10,1.2
All Seasons,Amit Kumar,11,1.18
All Seasons,Sagar,11,1.18
All Seasons,Sagar Khatale,12,1.17
All Seasons,Rajaguru Subramanian,46,1.17
All Seasons,Sagar B Krishna,60,1.17
All Seasons,Parveen,25,1.16
All Seasons,Sanket Chavan,13,1.15
All Seasons,Sachin Kumar,46,1.15
All Seasons,Deepak Yadav,7,1.14
All Seasons,D. Pradap,29,1.14
All Seasons,Manoj Kumar,52,1.13
All Seasons,Harendra Kumar,17,1.12
All Seasons,Shrikant Tewthia,71,1.11
All Seasons,Kalimuthu Balamahendran,23,1.09
All Seasons,N. Renjith,11,1.09
All Seasons,Ankit,12,1.08
All Seasons,Sumit Malik,14,1.07
All Seasons,Krushna Madane,16,1.06
All Seasons,Amit Kumar,19,1.05
All Seasons,Ponparthiban Subramanian,19,1.05
All Seasons,Vijay,59,1.03
All Seasons,Gurvinder Singh,5,1
All Seasons,Manjeet,42,1
All Seasons,Vinod Kumar,47,1
All Seasons,Rakesh Gowda,9,1
All Seasons,E Subash,4,1
All Seasons,Babu M,2,1
All Seasons,Lalit Chaudhary,7,1
All Seasons,Muruthu M,3,1
All Seasons,Nitin Rawal,45,1
All Seasons,Sushil Vijay Bhosle,2,1
All Seasons,Ajay Singh,1,1
All Seasons,Santhosh B.S,9,1
All Seasons,Raju Lal Choudhary,23,1
All Seasons,Adinath Sakharam Gavali,1,1
All Seasons,Swapnil Dilip Shinde,21,1
All Seasons,Sunil Jaipal,38,1
All Seasons,Rakesh Singh Kumar,49,1
All Seasons,Ajeet,14,1
All Seasons,Sachin Vittala,26,0.96
All Seasons,Ziaur Rahman,34,0.94
All Seasons,Manish,40,0.93
All Seasons,Rupesh Tomar,15,0.93
All Seasons,Mohit Sehrawat,13,0.92
All Seasons,Amit,32,0.91
All Seasons,Saeid Ghaffari,9,0.89
All Seasons,Manoj Dhull,27,0.89
All Seasons,Mahipal Narwal,34,0.88
All Seasons,Mayur Shivtarkar,30,0.87
All Seasons,Akshay Jadhav,29,0.86
All Seasons,Nitin More,22,0.86
All Seasons,Samarjeet Singh,22,0.86
All Seasons,Viraj Vishnu Landge,34,0.85
All Seasons,Jitesh Joshi,19,0.84
All Seasons,Parveen M. Jangra,6,0.83
All Seasons,Parvesh,6,0.83
All Seasons,Sandeep,6,0.83
All Seasons,Ravinder Kumar,12,0.83
All Seasons,Elangeshwaran R,5,0.8
All Seasons,Parmod Narwal,35,0.8
