Season,PlayerName,MatchesPlayed,Do-or-Die raid points
All Seasons,Deepak Niwas Hooda,123,166
All Seasons,Rahul Chaudhari,118,164
All Seasons,Ajay Thakur,115,163
All Seasons,Pardeep Narwal,104,136
All Seasons,Rishank Devadiga,116,127
All Seasons,Rajesh Mondal,89,126
All Seasons,Rohit Kumar,89,106
All Seasons,Kashiling Adake,92,103
All Seasons,Maninder Singh,78,102
All Seasons,Jang Kun Lee,103,100
All Seasons,Sukesh Hegde,96,98
All Seasons,Meraj Sheykh,94,95
All Seasons,Shrikant Jadhav,71,91
All Seasons,Sachin Tanwar,63,88
All Seasons,Deepak Kumar Dahiya,53,79
All Seasons,K. Prapanjan,81,79
All Seasons,Ajay Kumar,50,79
All Seasons,Nilesh Salunke,79,78
All Seasons,Monu Goyat,68,73
All Seasons,Vikash Kandola,49,73
All Seasons,Pawan Kumar Sehrawat,75,71
All Seasons,Deepak Narwal,81,71
All Seasons,Prashanth Kumar Rai,92,65
All Seasons,Selvamani K,55,62
All Seasons,Siddharth Sirish Desai,39,62
All Seasons,Jasvir Singh,77,61
All Seasons,Pawan Kumar Kadian,74,60
All Seasons,Rajesh Narwal,92,57
All Seasons,Naveen Kumar,40,56
All Seasons,Wazir Singh,47,54
All Seasons,Shabeer Bappu,74,53
All Seasons,Nitin Tomar,65,52
All Seasons,Abhishek Singh,31,50
All Seasons,Mahendra Ganesh Rajput,62,47
All Seasons,Tushar Patil,53,43
All Seasons,Surender Singh,48,41
All Seasons,Abolfazl Maghsodloumahali,47,41
All Seasons,Rohit Kumar Choudary,38,39
All Seasons,Mahesh Goud,65,39
All Seasons,Chandran Ranjit,59,38
All Seasons,Rohit Gulia,56,37
All Seasons,Ravi Dalal,38,36
All Seasons,More GB,44,35
All Seasons,Nitin Rawal,45,35
All Seasons,Manjeet,41,34
All Seasons,Bhupender Singh,47,34
All Seasons,Anup Kumar,91,33
All Seasons,Nitin Madane,37,33
All Seasons,Gurvinder Singh,45,30
All Seasons,Rohit Baliyan,67,30
All Seasons,Ajinkya Ashok Pawar,31,29
All Seasons,Naveen,34,28
All Seasons,Mohsen Maghsoudloujafari,45,27
All Seasons,Vinod Kumar,29,26
All Seasons,Darshan Kadian,38,25
All Seasons,Sandeep Narwal,119,25
All Seasons,Pankaj Mohite,16,24
All Seasons,Monu,52,22
All Seasons,Ran Singh,116,22
All Seasons,Sonu Narwal,33,22
All Seasons,Athul MS,37,20
All Seasons,Surender Gill,14,20
All Seasons,CPO Surjeet Singh,48,19
All Seasons,Manjeet Chhillar,108,19
All Seasons,Vinod Kumar,45,18
All Seasons,Rakesh Kumar,55,17
All Seasons,Dong Geon Lee,32,17
All Seasons,Amit Om Prakash Rathi,16,17
All Seasons,Ravindra Ramesh Kumawat,18,16
All Seasons,R. Sriram,15,16
All Seasons,Yogesh Hooda,21,15
All Seasons,Jitesh Joshi,19,15
All Seasons,Suresu Kumar,21,15
All Seasons,Vinoth Kumar,17,14
All Seasons,Mahipal Narwal,34,14
All Seasons,Pravin Niwale,17,14
All Seasons,Amit Kumar,18,14
