Season,PlayerName,MatchesPlayed,Super raids
All Seasons,Pardeep Narwal,104,50
All Seasons,Rishank Devadiga,116,25
All Seasons,Rahul Chaudhari,118,24
All Seasons,Ajay Thakur,115,23
All Seasons,Kashiling Adake,92,23
All Seasons,Maninder Singh,78,21
All Seasons,Deepak Niwas Hooda,123,20
All Seasons,Pawan Kumar Sehrawat,75,19
All Seasons,Meraj Sheykh,94,17
All Seasons,Anup Kumar,91,17
All Seasons,Siddharth Sirish Desai,39,16
All Seasons,Rohit Kumar,89,15
All Seasons,Sukesh Hegde,96,15
All Seasons,Jang Kun Lee,103,14
All Seasons,Rajesh Narwal,92,12
All Seasons,Sandeep Narwal,119,11
All Seasons,Vikash Kandola,49,11
All Seasons,Nitin Tomar,65,10
All Seasons,Nilesh Salunke,79,9
All Seasons,Mahendra Ganesh Rajput,62,9
All Seasons,Chandran Ranjit,59,9
All Seasons,Shrikant Jadhav,71,8
All Seasons,Deepak Kumar Dahiya,53,8
All Seasons,Prashanth Kumar Rai,92,8
All Seasons,Selvamani K,55,7
All Seasons,K. Prapanjan,81,7
All Seasons,Wazir Singh,47,7
All Seasons,Rajesh Mondal,89,7
All Seasons,Jasvir Singh,77,7
All Seasons,Monu Goyat,68,7
All Seasons,Nitin Rawal,45,6
All Seasons,Ravi Dalal,38,6
All Seasons,Rohit Kumar Choudary,38,6
All Seasons,Rohit Baliyan,67,6
All Seasons,Tushar Patil,53,5
All Seasons,Shabeer Bappu,74,5
All Seasons,Pravin Niwale,17,5
All Seasons,Manjeet Chhillar,108,5
All Seasons,Naveen,34,5
All Seasons,Vinay,17,5
All Seasons,Naveen Kumar,40,5
All Seasons,Manjeet,41,5
All Seasons,Ajay Kumar,50,4
All Seasons,Sachin Tanwar,63,4
All Seasons,Pankaj Mohite,16,4
All Seasons,Nitin Madane,37,4
All Seasons,Mahesh Goud,65,4
All Seasons,Bhupender Singh,47,4
All Seasons,Sunil Jaipal,38,4
All Seasons,Surjeet Narwal,31,4
All Seasons,Pawan Kumar Kadian,74,4
All Seasons,Ran Singh,116,4
All Seasons,Rakesh Narwal,25,4
All Seasons,Deepak Narwal,81,4
All Seasons,Surender Singh,48,4
All Seasons,Abolfazl Maghsodloumahali,47,4
All Seasons,Sonu Narwal,33,3
All Seasons,CPO Surjeet Singh,48,3
All Seasons,Mahipal Narwal,34,3
All Seasons,Sonu Jaglan,13,3
All Seasons,Abhishek Singh,31,3
All Seasons,Mohammad Esmaeil Nabibakhsh,19,3
All Seasons,Vijay,57,3
All Seasons,Anand Patil,26,3
All Seasons,Rohit Gulia,56,2
All Seasons,Mohsen Maghsoudloujafari,45,2
All Seasons,Vinod Kumar,45,2
All Seasons,Ravindra Ramesh Kumawat,18,2
All Seasons,Armaan,10,2
All Seasons,Monu,52,2
All Seasons,Arjun Deshwal,19,2
All Seasons,Sushil Gulia,7,2
All Seasons,Manoj Kumar,52,2
All Seasons,Kalimuthu Balamahendran,23,2
All Seasons,Gurvinder Singh,45,2
All Seasons,Vikas Jaglan,46,2
All Seasons,Shrikant Tewthia,71,2
All Seasons,Darshan Kadian,38,2
All Seasons,Sanjay Kumar,8,2
All Seasons,Kuldeep Singh,66,2
All Seasons,Pradeep Kumar,10,2
All Seasons,Amit Om Prakash Rathi,16,1
All Seasons,Sachin Vittala,26,1
All Seasons,Virender Wazir Singh,7,1
All Seasons,Deepak Kumar Rathee,20,1
All Seasons,Anil Shriram Nimbolkar,6,1
All Seasons,Ashish Chhokar,12,1
All Seasons,Kedar Lal,10,1
All Seasons,Preetam Chhillar,58,1
All Seasons,Girish Maruti Ernak,103,1
All Seasons,Parmod Narwal,35,1
All Seasons,Shyam Kumar Sah,27,1
All Seasons,Suraj Desai,12,1
All Seasons,Santhosh B.S,9,1
All Seasons,Rakesh Kumar,55,1
All Seasons,Waleed Al Hasani,6,1
All Seasons,Sinotharan Kanesharajah,3,1
All Seasons,Mandeep Kumar,7,1
All Seasons,Amit Kumar,3,1
All Seasons,V. Ajith Kumar,15,1
All Seasons,Ajinkya Ashok Pawar,31,1
All Seasons,Amit Kumar,17,1
All Seasons,Sachin Narwal,11,1
All Seasons,Dharmender,4,1
All Seasons,Azad Singh,13,1
All Seasons,Anand,8,1
All Seasons,Rajnish,14,1
All Seasons,Amit Kumar,18,1
All Seasons,Akshay Jadhav,29,1
All Seasons,Dong Geon Lee,32,1
All Seasons,More GB,44,1
All Seasons,Surinder Singh,62,1
All Seasons,Ajit Singh,17,1
All Seasons,Elangeshwaran R,5,1
Season 7,Pardeep Narwal,19,12
Season 7,Maninder Singh,19,6
Season 7,Pawan Kumar Sehrawat,19,6
Season 7,Siddharth Sirish Desai,18,6
Season 7,Vinay,17,5
Season 7,Vikash Kandola,14,5
Season 7,K. Prapanjan,18,4
Season 7,Pankaj Mohite,16,4
Season 7,Sonu Jaglan,13,3
Season 7,Chandran Ranjit,17,3
Season 7,Mohammad Esmaeil Nabibakhsh,19,3
Season 7,Vijay,17,2
Season 7,Rohit Kumar,17,2
Season 7,Rohit Baliyan,15,2
Season 7,Deepak Niwas Hooda,20,2
Season 7,Rishank Devadiga,13,2
Season 7,Shrikant Jadhav,17,2
Season 7,Sukesh Hegde,12,2
Season 7,Ajay Thakur,13,2
Season 7,Arjun Deshwal,16,2
Season 7,Sushil Gulia,7,2
Season 7,Abhishek Singh,16,2
Season 7,Manjeet,19,2
Season 7,Naveen Kumar,18,2
Season 7,Armaan,6,1
Season 7,Anand,5,1
Season 7,Naveen,13,1
Season 7,Nitin Rawal,15,1
Season 7,Rajnish,10,1
Season 7,Amit Kumar,3,1
Season 7,V. Ajith Kumar,15,1
Season 7,Sachin Narwal,11,1
Season 7,Meraj Sheykh,12,1
Season 7,Suraj Desai,12,1
Season 7,Selvamani K,6,1
Season 7,Nilesh Salunke,17,1
Season 7,Sachin Tanwar,16,1
Season 7,Surinder Singh,18,1
Season 6,Pawan Kumar Sehrawat,24,12
Season 6,Siddharth Sirish Desai,21,10
Season 6,Pardeep Narwal,21,6
Season 6,Meraj Sheykh,19,6
Season 6,Maninder Singh,22,6
Season 6,Rohit Kumar,24,5
Season 6,Vikash Kandola,22,5
Season 6,Nilesh Salunke,19,4
Season 6,Shrikant Jadhav,25,4
Season 6,Deepak Niwas Hooda,22,4
Season 6,Rahul Chaudhari,21,4
Season 6,Naveen,21,4
Season 6,Selvamani K,15,3
Season 6,Naveen Kumar,22,3
Season 6,Monu Goyat,20,3
Season 6,Manjeet,22,3
Season 6,Rishank Devadiga,23,3
Season 6,Kashiling Adake,20,3
Season 6,Mahesh Goud,10,3
Season 6,Ajay Thakur,22,3
Season 6,Chandran Ranjit,24,3
Season 6,Sukesh Hegde,17,3
Season 6,Mahendra Ganesh Rajput,13,3
Season 6,Abolfazl Maghsodloumahali,10,2
Season 6,Ravindra Ramesh Kumawat,12,2
Season 6,Prashanth Kumar Rai,21,2
Season 6,Jang Kun Lee,18,2
Season 6,Anup Kumar,13,2
Season 6,Rohit Gulia,19,2
Season 6,Sachin Tanwar,23,1
Season 6,Abhishek Singh,15,1
Season 6,Amit Kumar,6,1
Season 6,Armaan,4,1
Season 6,Dharmender,4,1
Season 6,Azad Singh,9,1
Season 6,More GB,22,1
Season 6,Nitin Rawal,9,1
Season 6,Monu,14,1
Season 6,Ajay Kumar,13,1
Season 6,Dong Geon Lee,11,1
Season 6,Anand Patil,7,1
Season 6,Ajinkya Ashok Pawar,17,1
Season 6,Amit Kumar,17,1
Season 6,Bhupender Singh,4,1
Season 6,Pawan Kumar Kadian,13,1
Season 6,Ran Singh,22,1
Season 6,CPO Surjeet Singh,9,1
Season 6,Vikas Jaglan,14,1
Season 6,Sandeep Narwal,18,1
Season 6,Akshay Jadhav,18,1
Season 6,Nitin Tomar,11,1
Season 6,Darshan Kadian,14,1
Season 6,Deepak Kumar Dahiya,11,1
Season 6,Rohit Baliyan,19,1
Season 6,Rakesh Narwal,6,1
Season 6,Deepak Narwal,17,1
Season 6,K. Prapanjan,22,1
Season 5,Pardeep Narwal,26,18
Season 5,Rishank Devadiga,21,12
Season 5,Deepak Niwas Hooda,24,8
Season 5,Nitin Tomar,20,7
Season 5,Maninder Singh,21,6
Season 5,Rahul Chaudhari,22,5
Season 5,Monu Goyat,26,4
Season 5,Nitin Rawal,21,4
