Season,TeamName,MatchesPlayed,Total points scored
All Seasons,Patna Pirates,131,4523
All Seasons,U Mumba,126,4101
All Seasons,Bengaluru Bulls,125,3960
All Seasons,Telugu Titans,122,3923
All Seasons,Puneri Paltan,126,3888
All Seasons,Jaipur Pink Panthers,124,3828
All Seasons,Bengal Warriors,125,3827
All Seasons,Dabang Delhi K.C.,122,3817
All Seasons,Gujarat Fortunegiants,69,2256
All Seasons,U.P. Yoddha,66,2125
All Seasons,Haryana Steelers,64,2092
All Seasons,Tamil Thalaivas,64,1930
Season 7,Dabang Delhi K.C.,20,742
Season 7,Bengal Warriors,20,718
Season 7,Bengaluru Bulls,19,656
Season 7,Puneri Paltan,20,652
Season 7,Haryana Steelers,19,650
Season 7,Patna Pirates,19,640
Season 7,Jaipur Pink Panthers,20,626
Season 7,Gujarat Fortunegiants,20,605
Season 7,U Mumba,19,598
Season 7,Tamil Thalaivas,20,578
Season 7,Telugu Titans,18,564
Season 7,U.P. Yoddha,18,551
Season 6,Bengaluru Bulls,24,887
Season 6,Gujarat Fortunegiants,25,876
Season 6,U Mumba,23,856
Season 6,Dabang Delhi K.C.,24,822
Season 6,U.P. Yoddha,25,812
Season 6,Patna Pirates,22,799
Season 6,Bengal Warriors,23,725
Season 6,Haryana Steelers,22,715
Season 6,Jaipur Pink Panthers,22,711
Season 6,Tamil Thalaivas,22,671
Season 6,Puneri Paltan,22,649
Season 6,Telugu Titans,22,647
Season 5,Patna Pirates,26,1050
Season 5,Gujarat Fortunegiants,24,775
Season 5,Puneri Paltan,24,766
Season 5,U.P. Yoddha,23,762
Season 5,Bengal Warriors,24,749
Season 5,Haryana Steelers,23,727
Season 5,U Mumba,22,707
Season 5,Telugu Titans,22,696
Season 5,Bengaluru Bulls,22,689
Season 5,Tamil Thalaivas,22,681
Season 5,Jaipur Pink Panthers,22,631
Season 5,Dabang Delhi K.C.,22,598
Season 4,Puneri Paltan,16,515
Season 4,Telugu Titans,16,506
Season 4,Patna Pirates,16,492
Season 4,Jaipur Pink Panthers,16,475
Season 4,Dabang Delhi K.C.,14,419
Season 4,U Mumba,14,399
Season 4,Bengal Warriors,14,378
Season 4,Bengaluru Bulls,14,360
Season 3,Patna Pirates,16,594
Season 3,Puneri Paltan,16,510
Season 3,U Mumba,16,502
Season 3,Bengal Warriors,16,460
Season 3,Telugu Titans,14,427
Season 3,Dabang Delhi K.C.,14,384
Season 3,Jaipur Pink Panthers,14,364
Season 3,Bengaluru Bulls,14,362
Season 2,Telugu Titans,16,586
Season 2,Bengaluru Bulls,16,508
Season 2,U Mumba,16,489
Season 2,Patna Pirates,16,444
Season 2,Jaipur Pink Panthers,14,442
Season 2,Dabang Delhi K.C.,14,396
Season 2,Puneri Paltan,14,391
Season 2,Bengal Warriors,14,367
Season 1,Jaipur Pink Panthers,16,579
Season 1,U Mumba,16,550
Season 1,Patna Pirates,16,504
Season 1,Bengaluru Bulls,16,498
Season 1,Telugu Titans,14,497
Season 1,Dabang Delhi K.C.,14,456
Season 1,Bengal Warriors,14,430
Season 1,Puneri Paltan,14,405
