Season,TeamName,MatchesPlayed,Super raid
All Seasons,Patna Pirates,131,90
All Seasons,Bengal Warriors,125,70
All Seasons,Bengaluru Bulls,125,63
All Seasons,Puneri Paltan,126,63
All Seasons,Telugu Titans,122,62
All Seasons,Dabang Delhi K.C.,122,62
All Seasons,U Mumba,126,62
All Seasons,Jaipur Pink Panthers,124,61
All Seasons,Haryana Steelers,64,38
All Seasons,U.P. Yoddha,66,38
All Seasons,Gujarat Fortunegiants,69,26
All Seasons,Tamil Thalaivas,64,16
Season 7,Bengal Warriors,20,15
Season 7,Haryana Steelers,19,14
Season 7,Patna Pirates,19,13
Season 7,Telugu Titans,18,9
Season 7,Bengaluru Bulls,19,8
Season 7,Dabang Delhi K.C.,20,8
Season 7,Jaipur Pink Panthers,20,7
Season 7,U Mumba,19,7
Season 7,Puneri Paltan,20,6
Season 7,U.P. Yoddha,18,5
Season 7,Gujarat Fortunegiants,20,5
Season 7,Tamil Thalaivas,20,4
Season 6,Bengaluru Bulls,24,20
Season 6,Bengal Warriors,23,16
Season 6,U Mumba,23,15
Season 6,Dabang Delhi K.C.,24,13
Season 6,Jaipur Pink Panthers,22,13
Season 6,Haryana Steelers,22,12
Season 6,Patna Pirates,22,11
Season 6,U.P. Yoddha,25,10
Season 6,Gujarat Fortunegiants,25,10
Season 6,Telugu Titans,22,9
Season 6,Puneri Paltan,22,7
Season 6,Tamil Thalaivas,22,7
Season 5,Patna Pirates,26,26
Season 5,U.P. Yoddha,23,23
Season 5,Jaipur Pink Panthers,22,13
Season 5,Puneri Paltan,24,12
Season 5,Haryana Steelers,23,12
Season 5,Bengal Warriors,24,11
Season 5,Gujarat Fortunegiants,24,11
Season 5,U Mumba,22,10
Season 5,Telugu Titans,22,10
Season 5,Dabang Delhi K.C.,22,6
Season 5,Bengaluru Bulls,22,5
Season 5,Tamil Thalaivas,22,5
Season 4,Dabang Delhi K.C.,14,11
Season 4,Puneri Paltan,16,10
Season 4,Telugu Titans,16,7
Season 4,Patna Pirates,16,7
Season 4,Jaipur Pink Panthers,16,6
Season 4,Bengal Warriors,14,4
Season 4,U Mumba,14,4
Season 4,Bengaluru Bulls,14,4
Season 3,Patna Pirates,16,16
Season 3,Puneri Paltan,16,9
Season 3,Bengaluru Bulls,14,9
Season 3,Jaipur Pink Panthers,14,8
Season 3,U Mumba,16,7
Season 3,Dabang Delhi K.C.,14,5
Season 3,Bengal Warriors,16,4
Season 3,Telugu Titans,14,3
Season 2,Telugu Titans,16,16
Season 2,Dabang Delhi K.C.,14,14
Season 2,Bengaluru Bulls,16,10
Season 2,Bengal Warriors,14,9
Season 2,Puneri Paltan,14,8
Season 2,U Mumba,16,7
Season 2,Jaipur Pink Panthers,14,5
Season 2,Patna Pirates,16,4
Season 1,Patna Pirates,16,13
Season 1,U Mumba,16,12
Season 1,Puneri Paltan,14,11
Season 1,Bengal Warriors,14,11
Season 1,Jaipur Pink Panthers,16,9
Season 1,Telugu Titans,14,8
Season 1,Bengaluru Bulls,16,7
Season 1,Dabang Delhi K.C.,14,5
