Season,TeamName,MatchesPlayed,Super tackles
All Seasons,Patna Pirates,131,131
All Seasons,Jaipur Pink Panthers,124,130
All Seasons,Puneri Paltan,126,125
All Seasons,Telugu Titans,122,115
All Seasons,U Mumba,126,104
All Seasons,Bengal Warriors,125,98
All Seasons,Dabang Delhi K.C.,122,96
All Seasons,Bengaluru Bulls,125,93
All Seasons,U.P. Yoddha,66,62
All Seasons,Haryana Steelers,64,50
All Seasons,Gujarat Fortunegiants,69,47
All Seasons,Tamil Thalaivas,64,45
Season 7,Jaipur Pink Panthers,20,32
Season 7,Bengaluru Bulls,19,25
Season 7,Puneri Paltan,20,25
Season 7,Patna Pirates,19,23
Season 7,Telugu Titans,18,21
Season 7,U Mumba,19,18
Season 7,Gujarat Fortunegiants,20,17
Season 7,U.P. Yoddha,18,16
Season 7,Haryana Steelers,19,14
Season 7,Tamil Thalaivas,20,13
Season 7,Bengal Warriors,20,12
Season 7,Dabang Delhi K.C.,20,8
Season 6,Puneri Paltan,22,34
Season 6,Telugu Titans,22,33
Season 6,U.P. Yoddha,25,27
Season 6,Jaipur Pink Panthers,22,25
Season 6,Dabang Delhi K.C.,24,19
Season 6,Gujarat Fortunegiants,25,18
Season 6,Patna Pirates,22,16
Season 6,Bengal Warriors,23,16
Season 6,U Mumba,23,15
Season 6,Haryana Steelers,22,15
Season 6,Tamil Thalaivas,22,15
Season 6,Bengaluru Bulls,24,12
Season 5,Patna Pirates,26,27
Season 5,U Mumba,22,26
Season 5,Puneri Paltan,24,21
Season 5,Haryana Steelers,23,21
Season 5,U.P. Yoddha,23,19
Season 5,Tamil Thalaivas,22,17
Season 5,Telugu Titans,22,17
Season 5,Bengaluru Bulls,22,17
Season 5,Dabang Delhi K.C.,22,12
Season 5,Bengal Warriors,24,12
Season 5,Gujarat Fortunegiants,24,12
Season 5,Jaipur Pink Panthers,22,10
Season 4,Patna Pirates,16,27
Season 4,Dabang Delhi K.C.,14,20
Season 4,Jaipur Pink Panthers,16,17
Season 4,Bengaluru Bulls,14,15
Season 4,U Mumba,14,11
Season 4,Bengal Warriors,14,8
Season 4,Puneri Paltan,16,7
Season 4,Telugu Titans,16,5
Season 3,Jaipur Pink Panthers,14,16
Season 3,Telugu Titans,14,15
Season 3,Puneri Paltan,16,13
Season 3,Bengal Warriors,16,13
Season 3,Dabang Delhi K.C.,14,13
Season 3,Bengaluru Bulls,14,7
Season 3,Patna Pirates,16,7
Season 3,U Mumba,16,6
Season 2,Bengal Warriors,14,21
Season 2,Jaipur Pink Panthers,14,18
Season 2,Telugu Titans,16,16
Season 2,U Mumba,16,16
Season 2,Dabang Delhi K.C.,14,14
Season 2,Patna Pirates,16,13
Season 2,Puneri Paltan,14,11
Season 2,Bengaluru Bulls,16,7
Season 1,Patna Pirates,16,18
Season 1,Bengal Warriors,14,16
Season 1,Puneri Paltan,14,14
Season 1,Jaipur Pink Panthers,16,12
Season 1,U Mumba,16,12
Season 1,Bengaluru Bulls,16,10
Season 1,Dabang Delhi K.C.,14,10
Season 1,Telugu Titans,14,8
