Season,TeamName,MatchesPlayed,Do-or-Die raid points
All Seasons,Puneri Paltan,126,518
All Seasons,Jaipur Pink Panthers,124,467
All Seasons,Patna Pirates,131,467
All Seasons,Bengaluru Bulls,125,456
All Seasons,U Mumba,126,455
All Seasons,Dabang Delhi K.C.,122,447
All Seasons,Bengal Warriors,125,446
All Seasons,Telugu Titans,122,434
All Seasons,U.P. Yoddha,66,240
All Seasons,Gujarat Fortunegiants,69,231
All Seasons,Haryana Steelers,64,221
All Seasons,Tamil Thalaivas,64,211
Season 7,Jaipur Pink Panthers,20,73
Season 7,Haryana Steelers,19,71
Season 7,U.P. Yoddha,18,71
Season 7,Patna Pirates,19,69
Season 7,U Mumba,19,66
Season 7,Puneri Paltan,20,60
Season 7,Gujarat Fortunegiants,20,59
Season 7,Tamil Thalaivas,20,55
Season 7,Bengal Warriors,20,53
Season 7,Dabang Delhi K.C.,20,50
Season 7,Telugu Titans,18,44
Season 7,Bengaluru Bulls,19,42
Season 6,U Mumba,23,89
Season 6,U.P. Yoddha,25,86
Season 6,Telugu Titans,22,85
Season 6,Bengal Warriors,23,85
Season 6,Jaipur Pink Panthers,22,75
Season 6,Gujarat Fortunegiants,25,74
Season 6,Bengaluru Bulls,24,73
Season 6,Dabang Delhi K.C.,24,73
Season 6,Puneri Paltan,22,71
Season 6,Tamil Thalaivas,22,67
Season 6,Patna Pirates,22,54
Season 6,Haryana Steelers,22,45
Season 5,Puneri Paltan,24,119
Season 5,Haryana Steelers,23,105
Season 5,Gujarat Fortunegiants,24,98
Season 5,Patna Pirates,26,95
Season 5,Dabang Delhi K.C.,22,94
Season 5,Bengaluru Bulls,22,93
Season 5,Tamil Thalaivas,22,89
Season 5,Telugu Titans,22,88
Season 5,Bengal Warriors,24,87
Season 5,Jaipur Pink Panthers,22,83
Season 5,U.P. Yoddha,23,83
Season 5,U Mumba,22,78
Season 4,Dabang Delhi K.C.,14,84
Season 4,Jaipur Pink Panthers,16,80
Season 4,Puneri Paltan,16,77
Season 4,Telugu Titans,16,76
Season 4,Patna Pirates,16,73
Season 4,Bengal Warriors,14,62
Season 4,Bengaluru Bulls,14,59
Season 4,U Mumba,14,42
Season 3,Puneri Paltan,16,87
Season 3,Patna Pirates,16,74
Season 3,Bengal Warriors,16,70
Season 3,Bengaluru Bulls,14,69
Season 3,U Mumba,16,59
Season 3,Jaipur Pink Panthers,14,59
Season 3,Dabang Delhi K.C.,14,54
Season 3,Telugu Titans,14,44
Season 2,U Mumba,16,81
Season 2,Bengaluru Bulls,16,80
Season 2,Telugu Titans,16,66
Season 2,Dabang Delhi K.C.,14,61
Season 2,Patna Pirates,16,60
Season 2,Bengal Warriors,14,59
Season 2,Puneri Paltan,14,56
Season 2,Jaipur Pink Panthers,14,47
Season 1,Jaipur Pink Panthers,16,50
Season 1,Puneri Paltan,14,48
Season 1,Patna Pirates,16,42
Season 1,U Mumba,16,40
Season 1,Bengaluru Bulls,16,40
Season 1,Dabang Delhi K.C.,14,31
Season 1,Telugu Titans,14,31
Season 1,Bengal Warriors,14,30
