Season,TeamName,MatchesPlayed,All-outs inflicted
All Seasons,Patna Pirates,131,193
All Seasons,U Mumba,126,171
All Seasons,Bengaluru Bulls,125,152
All Seasons,Telugu Titans,122,142
All Seasons,Dabang Delhi K.C.,122,141
All Seasons,Jaipur Pink Panthers,124,137
All Seasons,Puneri Paltan,126,134
All Seasons,Bengal Warriors,125,133
All Seasons,Gujarat Fortunegiants,69,93
All Seasons,U.P. Yoddha,66,70
All Seasons,Haryana Steelers,64,70
All Seasons,Tamil Thalaivas,64,53
Season 7,Dabang Delhi K.C.,20,34
Season 7,Bengal Warriors,20,34
Season 7,Patna Pirates,19,28
Season 7,Haryana Steelers,19,27
Season 7,U Mumba,19,26
Season 7,U.P. Yoddha,18,21
Season 7,Gujarat Fortunegiants,20,21
Season 7,Bengaluru Bulls,19,21
Season 7,Jaipur Pink Panthers,20,19
Season 7,Puneri Paltan,20,18
Season 7,Tamil Thalaivas,20,14
Season 7,Telugu Titans,18,13
Season 6,U Mumba,23,41
Season 6,Bengaluru Bulls,24,37
Season 6,Gujarat Fortunegiants,25,36
Season 6,Dabang Delhi K.C.,24,34
Season 6,Patna Pirates,22,30
Season 6,U.P. Yoddha,25,26
Season 6,Bengal Warriors,23,23
Season 6,Jaipur Pink Panthers,22,22
Season 6,Tamil Thalaivas,22,20
Season 6,Telugu Titans,22,18
Season 6,Haryana Steelers,22,16
Season 6,Puneri Paltan,22,14
Season 5,Patna Pirates,26,55
Season 5,Gujarat Fortunegiants,24,36
Season 5,Puneri Paltan,24,32
Season 5,Bengaluru Bulls,22,28
Season 5,Bengal Warriors,24,27
Season 5,Haryana Steelers,23,27
Season 5,Telugu Titans,22,25
Season 5,U.P. Yoddha,23,23
Season 5,Jaipur Pink Panthers,22,22
Season 5,U Mumba,22,21
Season 5,Tamil Thalaivas,22,19
Season 5,Dabang Delhi K.C.,22,18
Season 4,Telugu Titans,16,22
Season 4,Puneri Paltan,16,21
Season 4,Patna Pirates,16,19
Season 4,Jaipur Pink Panthers,16,17
Season 4,Dabang Delhi K.C.,14,15
Season 4,U Mumba,14,15
Season 4,Bengal Warriors,14,11
Season 4,Bengaluru Bulls,14,9
Season 3,Patna Pirates,16,30
Season 3,U Mumba,16,27
Season 3,Puneri Paltan,16,25
Season 3,Bengal Warriors,16,17
Season 3,Telugu Titans,14,13
Season 3,Bengaluru Bulls,14,12
Season 3,Jaipur Pink Panthers,14,11
Season 3,Dabang Delhi K.C.,14,9
Season 2,Telugu Titans,16,26
Season 2,Bengaluru Bulls,16,25
Season 2,U Mumba,16,20
Season 2,Jaipur Pink Panthers,14,17
Season 2,Dabang Delhi K.C.,14,13
Season 2,Patna Pirates,16,13
Season 2,Puneri Paltan,14,12
Season 2,Bengal Warriors,14,10
Season 1,Jaipur Pink Panthers,16,29
Season 1,Telugu Titans,14,25
Season 1,U Mumba,16,21
Season 1,Bengaluru Bulls,16,20
Season 1,Dabang Delhi K.C.,14,18
Season 1,Patna Pirates,16,18
Season 1,Puneri Paltan,14,12
Season 1,Bengal Warriors,14,11
