Season,TeamName,MatchesPlayed,All-outs conceded
All Seasons,Dabang Delhi K.C.,122,168
All Seasons,Puneri Paltan,126,162
All Seasons,Bengaluru Bulls,125,146
All Seasons,Patna Pirates,131,145
All Seasons,Jaipur Pink Panthers,124,145
All Seasons,Bengal Warriors,125,144
All Seasons,U Mumba,126,139
All Seasons,Telugu Titans,122,132
All Seasons,Tamil Thalaivas,64,88
All Seasons,U.P. Yoddha,66,84
All Seasons,Haryana Steelers,64,77
All Seasons,Gujarat Fortunegiants,69,59
Season 7,Puneri Paltan,20,33
Season 7,Tamil Thalaivas,20,30
Season 7,Bengaluru Bulls,19,24
Season 7,Jaipur Pink Panthers,20,23
Season 7,Patna Pirates,19,23
Season 7,Telugu Titans,18,22
Season 7,U.P. Yoddha,18,22
Season 7,Gujarat Fortunegiants,20,22
Season 7,Haryana Steelers,19,21
Season 7,U Mumba,19,21
Season 7,Dabang Delhi K.C.,20,18
Season 7,Bengal Warriors,20,17
Season 6,Haryana Steelers,22,33
Season 6,Jaipur Pink Panthers,22,32
Season 6,Patna Pirates,22,30
Season 6,U.P. Yoddha,25,30
Season 6,Puneri Paltan,22,29
Season 6,Dabang Delhi K.C.,24,28
Season 6,Tamil Thalaivas,22,27
Season 6,Telugu Titans,22,25
Season 6,Bengaluru Bulls,24,24
Season 6,Bengal Warriors,23,23
Season 6,Gujarat Fortunegiants,25,20
Season 6,U Mumba,23,16
Season 5,U Mumba,22,36
Season 5,Dabang Delhi K.C.,22,35
Season 5,U.P. Yoddha,23,32
Season 5,Tamil Thalaivas,22,31
Season 5,Bengal Warriors,24,29
Season 5,Patna Pirates,26,29
Season 5,Jaipur Pink Panthers,22,27
Season 5,Telugu Titans,22,26
Season 5,Bengaluru Bulls,22,25
Season 5,Haryana Steelers,23,23
Season 5,Puneri Paltan,24,23
Season 5,Gujarat Fortunegiants,24,17
Season 4,Bengaluru Bulls,14,21
Season 4,U Mumba,14,21
Season 4,Puneri Paltan,16,17
Season 4,Dabang Delhi K.C.,14,16
Season 4,Bengal Warriors,14,15
Season 4,Jaipur Pink Panthers,16,14
Season 4,Telugu Titans,16,13
Season 4,Patna Pirates,16,12
Season 3,Dabang Delhi K.C.,14,28
Season 3,Jaipur Pink Panthers,14,22
Season 3,Bengaluru Bulls,14,21
Season 3,Bengal Warriors,16,18
Season 3,Telugu Titans,14,17
Season 3,Patna Pirates,16,13
Season 3,Puneri Paltan,16,13
Season 3,U Mumba,16,12
Season 2,Patna Pirates,16,21
Season 2,Puneri Paltan,14,21
Season 2,Dabang Delhi K.C.,14,20
Season 2,Bengal Warriors,14,17
Season 2,Bengaluru Bulls,16,16
Season 2,Telugu Titans,16,15
Season 2,U Mumba,16,14
Season 2,Jaipur Pink Panthers,14,12
Season 1,Puneri Paltan,14,26
Season 1,Bengal Warriors,14,25
Season 1,Dabang Delhi K.C.,14,23
Season 1,U Mumba,16,19
Season 1,Patna Pirates,16,17
Season 1,Jaipur Pink Panthers,16,15
Season 1,Bengaluru Bulls,16,15
Season 1,Telugu Titans,14,14
