Season,TeamName,MatchesPlayed,Total points conceded
All Seasons,Patna Pirates,131,4307
All Seasons,Dabang Delhi K.C.,122,4086
All Seasons,Puneri Paltan,126,4025
All Seasons,Bengal Warriors,125,3946
All Seasons,Bengaluru Bulls,125,3907
All Seasons,Jaipur Pink Panthers,124,3881
All Seasons,Telugu Titans,122,3861
All Seasons,U Mumba,126,3730
All Seasons,Tamil Thalaivas,64,2188
All Seasons,U.P. Yoddha,66,2180
All Seasons,Haryana Steelers,64,2158
All Seasons,Gujarat Fortunegiants,69,2001
Season 7,Puneri Paltan,20,723
Season 7,Tamil Thalaivas,20,695
Season 7,Dabang Delhi K.C.,20,659
Season 7,Jaipur Pink Panthers,20,644
Season 7,Bengaluru Bulls,19,644
Season 7,Patna Pirates,19,641
Season 7,Haryana Steelers,19,626
Season 7,Bengal Warriors,20,623
Season 7,Telugu Titans,18,603
Season 7,Gujarat Fortunegiants,20,591
Season 7,U.P. Yoddha,18,570
Season 7,U Mumba,19,561
Season 6,U.P. Yoddha,25,847
Season 6,Patna Pirates,22,835
Season 6,Dabang Delhi K.C.,24,824
Season 6,Haryana Steelers,22,806
Season 6,Jaipur Pink Panthers,22,780
Season 6,Gujarat Fortunegiants,25,769
Season 6,Bengaluru Bulls,24,766
Season 6,Tamil Thalaivas,22,741
Season 6,Bengal Warriors,23,734
Season 6,Telugu Titans,22,702
Season 6,Puneri Paltan,22,694
Season 6,U Mumba,23,672
Season 5,Patna Pirates,26,921
Season 5,U.P. Yoddha,23,763
Season 5,Bengal Warriors,24,757
Season 5,U Mumba,22,757
Season 5,Tamil Thalaivas,22,752
Season 5,Dabang Delhi K.C.,22,731
Season 5,Haryana Steelers,23,726
Season 5,Jaipur Pink Panthers,22,723
Season 5,Telugu Titans,22,698
Season 5,Puneri Paltan,24,683
Season 5,Bengaluru Bulls,22,679
Season 5,Gujarat Fortunegiants,24,641
Season 4,Puneri Paltan,16,491
Season 4,Patna Pirates,16,466
Season 4,Telugu Titans,16,454
Season 4,Jaipur Pink Panthers,16,450
Season 4,Bengal Warriors,14,438
Season 4,U Mumba,14,418
Season 4,Bengaluru Bulls,14,415
Season 4,Dabang Delhi K.C.,14,412
Season 3,Dabang Delhi K.C.,14,525
Season 3,Patna Pirates,16,468
Season 3,Bengaluru Bulls,14,467
Season 3,Bengal Warriors,16,449
Season 3,Telugu Titans,14,437
Season 3,Puneri Paltan,16,433
Season 3,Jaipur Pink Panthers,14,427
Season 3,U Mumba,16,397
Season 2,Telugu Titans,16,493
Season 2,Patna Pirates,16,489
Season 2,Puneri Paltan,14,465
Season 2,Dabang Delhi K.C.,14,464
Season 2,Bengaluru Bulls,16,457
Season 2,Bengal Warriors,14,430
Season 2,U Mumba,16,426
Season 2,Jaipur Pink Panthers,14,399
Season 1,Puneri Paltan,14,536
Season 1,Bengal Warriors,14,515
Season 1,U Mumba,16,499
Season 1,Patna Pirates,16,487
Season 1,Bengaluru Bulls,16,479
Season 1,Telugu Titans,14,474
Season 1,Dabang Delhi K.C.,14,471
Season 1,Jaipur Pink Panthers,16,458
