Season,TeamName,MatchesPlayed,Avg points scored
All Seasons,Patna Pirates,131,30.04
All Seasons,Haryana Steelers,64,28.79
All Seasons,U Mumba,126,28.44
All Seasons,Telugu Titans,122,28.37
All Seasons,U.P. Yoddha,66,28.13
All Seasons,Gujarat Fortunegiants,69,28.05
All Seasons,Bengaluru Bulls,125,27.66
All Seasons,Dabang Delhi K.C.,122,27.14
All Seasons,Tamil Thalaivas,64,27.09
All Seasons,Puneri Paltan,126,26.92
All Seasons,Bengal Warriors,125,26.83
All Seasons,Jaipur Pink Panthers,124,26.79
Season 7,Dabang Delhi K.C.,20,31.2
Season 7,Bengal Warriors,20,30.9
Season 7,Bengaluru Bulls,19,30.73
Season 7,Haryana Steelers,19,30.1
Season 7,Puneri Paltan,20,29.5
Season 7,Patna Pirates,19,29.42
Season 7,Telugu Titans,18,28.55
Season 7,Jaipur Pink Panthers,20,27.8
Season 7,U Mumba,19,26.73
Season 7,U.P. Yoddha,18,26.72
Season 7,Gujarat Fortunegiants,20,26.15
Season 7,Tamil Thalaivas,20,25.75
Season 6,U Mumba,23,32.52
Season 6,Bengaluru Bulls,24,32.37
Season 6,Patna Pirates,22,31.68
Season 6,Gujarat Fortunegiants,25,30.16
Season 6,Dabang Delhi K.C.,24,29.12
Season 6,Jaipur Pink Panthers,22,29.09
Season 6,Haryana Steelers,22,29.09
Season 6,U.P. Yoddha,25,28.56
Season 6,Bengal Warriors,23,27.65
Season 6,Tamil Thalaivas,22,27.63
Season 6,Telugu Titans,22,26.63
Season 6,Puneri Paltan,22,25.68
Season 5,Patna Pirates,26,34.19
Season 5,U.P. Yoddha,23,28.78
Season 5,U Mumba,22,28.22
Season 5,Tamil Thalaivas,22,27.77
Season 5,Telugu Titans,22,27.59
Season 5,Gujarat Fortunegiants,24,27.45
Season 5,Haryana Steelers,23,27.43
Season 5,Puneri Paltan,24,27.08
Season 5,Bengal Warriors,24,27
Season 5,Bengaluru Bulls,22,26.95
Season 5,Jaipur Pink Panthers,22,23.81
Season 5,Dabang Delhi K.C.,22,23.31
Season 4,Puneri Paltan,16,27.25
Season 4,Patna Pirates,16,27.18
Season 4,Telugu Titans,16,26.81
Season 4,Dabang Delhi K.C.,14,25.71
Season 4,Jaipur Pink Panthers,16,25.31
Season 4,U Mumba,14,24.85
Season 4,Bengal Warriors,14,23.35
Season 4,Bengaluru Bulls,14,23.21
Season 3,Patna Pirates,16,31.62
Season 3,Puneri Paltan,16,27.37
Season 3,Telugu Titans,14,26.42
Season 3,U Mumba,16,26.37
Season 3,Bengal Warriors,16,25
Season 3,Dabang Delhi K.C.,14,24.57
Season 3,Jaipur Pink Panthers,14,22.14
Season 3,Bengaluru Bulls,14,22.07
Season 2,Telugu Titans,16,32.25
Season 2,U Mumba,16,27.06
Season 2,Jaipur Pink Panthers,14,26.71
Season 2,Bengaluru Bulls,16,26
Season 2,Dabang Delhi K.C.,14,25.21
Season 2,Patna Pirates,16,24.5
Season 2,Puneri Paltan,14,24.07
Season 2,Bengal Warriors,14,22.85
Season 1,Jaipur Pink Panthers,16,32.12
Season 1,U Mumba,16,31.5
Season 1,Telugu Titans,14,31.42
Season 1,Dabang Delhi K.C.,14,29.92
Season 1,Bengal Warriors,14,28.92
Season 1,Patna Pirates,16,28.62
Season 1,Bengaluru Bulls,16,28.37
Season 1,Puneri Paltan,14,26.85
