Season,TeamName,MatchesPlayed,Successful raids
All Seasons,Patna Pirates,131,2066
All Seasons,Telugu Titans,122,1843
All Seasons,Bengaluru Bulls,125,1810
All Seasons,U Mumba,126,1803
All Seasons,Bengal Warriors,125,1786
All Seasons,Dabang Delhi K.C.,122,1783
All Seasons,Jaipur Pink Panthers,124,1688
All Seasons,Puneri Paltan,126,1687
All Seasons,Gujarat Fortunegiants,69,992
All Seasons,Haryana Steelers,64,978
All Seasons,Tamil Thalaivas,64,970
All Seasons,U.P. Yoddha,66,938
Season 7,Dabang Delhi K.C.,20,361
Season 7,Bengal Warriors,20,340
Season 7,Bengaluru Bulls,19,309
Season 7,Patna Pirates,19,291
Season 7,Puneri Paltan,20,290
Season 7,Haryana Steelers,19,290
Season 7,Tamil Thalaivas,20,275
Season 7,Telugu Titans,18,273
Season 7,Gujarat Fortunegiants,20,265
Season 7,Jaipur Pink Panthers,20,261
Season 7,U Mumba,19,258
Season 7,U.P. Yoddha,18,223
Season 6,Bengaluru Bulls,24,431
Season 6,Patna Pirates,22,406
Season 6,Dabang Delhi K.C.,24,401
Season 6,Gujarat Fortunegiants,25,392
Season 6,U Mumba,23,372
Season 6,Haryana Steelers,22,361
Season 6,U.P. Yoddha,25,357
Season 6,Tamil Thalaivas,22,344
Season 6,Bengal Warriors,23,340
Season 6,Jaipur Pink Panthers,22,334
Season 6,Telugu Titans,22,289
Season 6,Puneri Paltan,22,286
Season 5,Patna Pirates,26,487
Season 5,Bengal Warriors,24,379
Season 5,U.P. Yoddha,23,358
Season 5,Tamil Thalaivas,22,351
Season 5,Bengaluru Bulls,22,336
Season 5,Gujarat Fortunegiants,24,335
Season 5,Telugu Titans,22,332
Season 5,Haryana Steelers,23,327
Season 5,U Mumba,22,322
Season 5,Puneri Paltan,24,304
Season 5,Jaipur Pink Panthers,22,288
Season 5,Dabang Delhi K.C.,22,283
Season 4,Puneri Paltan,16,230
Season 4,Telugu Titans,16,206
Season 4,Patna Pirates,16,206
Season 4,Jaipur Pink Panthers,16,203
Season 4,U Mumba,14,188
Season 4,Bengal Warriors,14,167
Season 4,Dabang Delhi K.C.,14,162
Season 4,Bengaluru Bulls,14,157
Season 3,Patna Pirates,16,241
Season 3,Bengal Warriors,16,213
Season 3,U Mumba,16,206
Season 3,Telugu Titans,14,206
Season 3,Puneri Paltan,16,203
Season 3,Dabang Delhi K.C.,14,171
Season 3,Bengaluru Bulls,14,158
Season 3,Jaipur Pink Panthers,14,149
Season 2,Telugu Titans,16,265
Season 2,Bengaluru Bulls,16,194
Season 2,U Mumba,16,187
Season 2,Jaipur Pink Panthers,14,183
Season 2,Patna Pirates,16,182
Season 2,Puneri Paltan,14,170
Season 2,Dabang Delhi K.C.,14,159
Season 2,Bengal Warriors,14,134
Season 1,Telugu Titans,14,272
Season 1,U Mumba,16,270
Season 1,Jaipur Pink Panthers,16,270
Season 1,Patna Pirates,16,253
Season 1,Dabang Delhi K.C.,14,246
Season 1,Bengaluru Bulls,16,225
Season 1,Bengal Warriors,14,213
Season 1,Puneri Paltan,14,204
