Season,TeamName,MatchesPlayed,Raid points
All Seasons,Patna Pirates,131,2633
All Seasons,Telugu Titans,122,2286
All Seasons,Bengaluru Bulls,125,2286
All Seasons,U Mumba,126,2267
All Seasons,Bengal Warriors,125,2236
All Seasons,Dabang Delhi K.C.,122,2225
All Seasons,Jaipur Pink Panthers,124,2144
All Seasons,Puneri Paltan,126,2116
All Seasons,Haryana Steelers,64,1228
All Seasons,Gujarat Fortunegiants,69,1205
All Seasons,U.P. Yoddha,66,1199
All Seasons,Tamil Thalaivas,64,1173
Season 7,Dabang Delhi K.C.,20,437
Season 7,Bengal Warriors,20,426
Season 7,Bengaluru Bulls,19,393
Season 7,Haryana Steelers,19,377
Season 7,Patna Pirates,19,368
Season 7,Puneri Paltan,20,358
Season 7,Tamil Thalaivas,20,344
Season 7,Jaipur Pink Panthers,20,337
Season 7,Telugu Titans,18,332
Season 7,U Mumba,19,325
Season 7,Gujarat Fortunegiants,20,320
Season 7,U.P. Yoddha,18,289
Season 6,Bengaluru Bulls,24,547
Season 6,Patna Pirates,22,496
Season 6,Dabang Delhi K.C.,24,483
Season 6,Gujarat Fortunegiants,25,480
Season 6,U Mumba,23,459
Season 6,U.P. Yoddha,25,449
Season 6,Haryana Steelers,22,447
Season 6,Bengal Warriors,23,436
Season 6,Tamil Thalaivas,22,419
Season 6,Jaipur Pink Panthers,22,415
Season 6,Telugu Titans,22,353
Season 6,Puneri Paltan,22,346
Season 5,Patna Pirates,26,637
Season 5,U.P. Yoddha,23,461
Season 5,Bengal Warriors,24,455
Season 5,U Mumba,22,419
Season 5,Tamil Thalaivas,22,410
Season 5,Gujarat Fortunegiants,24,405
Season 5,Haryana Steelers,23,404
Season 5,Telugu Titans,22,400
Season 5,Bengaluru Bulls,22,393
Season 5,Puneri Paltan,24,379
Season 5,Jaipur Pink Panthers,22,353
Season 5,Dabang Delhi K.C.,22,344
Season 4,Puneri Paltan,16,290
Season 4,Jaipur Pink Panthers,16,270
Season 4,Telugu Titans,16,267
Season 4,Patna Pirates,16,264
Season 4,U Mumba,14,227
Season 4,Dabang Delhi K.C.,14,226
Season 4,Bengal Warriors,14,202
Season 4,Bengaluru Bulls,14,201
Season 3,Patna Pirates,16,324
Season 3,Telugu Titans,14,254
Season 3,U Mumba,16,253
Season 3,Puneri Paltan,16,251
Season 3,Bengal Warriors,16,250
Season 3,Dabang Delhi K.C.,14,233
Season 3,Bengaluru Bulls,14,209
Season 3,Jaipur Pink Panthers,14,193
Season 2,Telugu Titans,16,344
Season 2,Bengaluru Bulls,16,252
Season 2,U Mumba,16,237
Season 2,Jaipur Pink Panthers,14,232
Season 2,Patna Pirates,16,228
Season 2,Puneri Paltan,14,223
Season 2,Dabang Delhi K.C.,14,217
Season 2,Bengal Warriors,14,184
Season 1,U Mumba,16,347
Season 1,Jaipur Pink Panthers,16,344
Season 1,Telugu Titans,14,336
Season 1,Patna Pirates,16,316
Season 1,Bengaluru Bulls,16,291
Season 1,Dabang Delhi K.C.,14,285
Season 1,Bengal Warriors,14,283
Season 1,Puneri Paltan,14,269
