Season,TeamName,MatchesPlayed,Avg raid points
All Seasons,Patna Pirates,131,20.1
All Seasons,Haryana Steelers,64,19.19
All Seasons,Telugu Titans,122,18.74
All Seasons,Tamil Thalaivas,64,18.33
All Seasons,Bengaluru Bulls,125,18.29
All Seasons,Dabang Delhi K.C.,122,18.24
All Seasons,U.P. Yoddha,66,18.17
All Seasons,U Mumba,126,17.99
All Seasons,Bengal Warriors,125,17.89
All Seasons,Gujarat Fortunegiants,69,17.46
All Seasons,Jaipur Pink Panthers,124,17.29
All Seasons,Puneri Paltan,126,16.79
Season 7,Dabang Delhi K.C.,20,21.85
Season 7,Bengal Warriors,20,21.3
Season 7,Bengaluru Bulls,19,20.68
Season 7,Haryana Steelers,19,19.84
Season 7,Patna Pirates,19,19.37
Season 7,Telugu Titans,18,18.44
Season 7,Puneri Paltan,20,17.9
Season 7,Tamil Thalaivas,20,17.2
Season 7,U Mumba,19,17.11
Season 7,Jaipur Pink Panthers,20,16.85
Season 7,U.P. Yoddha,18,16.06
Season 7,Gujarat Fortunegiants,20,16
Season 6,Bengaluru Bulls,24,22.79
Season 6,Patna Pirates,22,22.55
Season 6,Haryana Steelers,22,20.32
Season 6,Dabang Delhi K.C.,24,20.13
Season 6,U Mumba,23,19.96
Season 6,Gujarat Fortunegiants,25,19.2
Season 6,Tamil Thalaivas,22,19.05
Season 6,Bengal Warriors,23,18.96
Season 6,Jaipur Pink Panthers,22,18.86
Season 6,U.P. Yoddha,25,17.96
Season 6,Telugu Titans,22,16.05
Season 6,Puneri Paltan,22,15.73
Season 5,Patna Pirates,26,24.5
Season 5,U.P. Yoddha,23,20.04
Season 5,U Mumba,22,19.05
Season 5,Bengal Warriors,24,18.96
Season 5,Tamil Thalaivas,22,18.64
Season 5,Telugu Titans,22,18.18
Season 5,Bengaluru Bulls,22,17.86
Season 5,Haryana Steelers,23,17.57
Season 5,Gujarat Fortunegiants,24,16.88
Season 5,Jaipur Pink Panthers,22,16.05
Season 5,Puneri Paltan,24,15.79
Season 5,Dabang Delhi K.C.,22,15.64
Season 4,Puneri Paltan,16,18.13
Season 4,Jaipur Pink Panthers,16,16.88
Season 4,Telugu Titans,16,16.69
Season 4,Patna Pirates,16,16.5
Season 4,U Mumba,14,16.21
Season 4,Dabang Delhi K.C.,14,16.14
Season 4,Bengal Warriors,14,14.43
Season 4,Bengaluru Bulls,14,14.36
Season 3,Patna Pirates,16,20.25
Season 3,Telugu Titans,14,18.14
Season 3,Dabang Delhi K.C.,14,16.64
Season 3,U Mumba,16,15.81
Season 3,Puneri Paltan,16,15.69
Season 3,Bengal Warriors,16,15.63
Season 3,Bengaluru Bulls,14,14.93
Season 3,Jaipur Pink Panthers,14,13.79
Season 2,Telugu Titans,16,21.5
Season 2,Jaipur Pink Panthers,14,16.57
Season 2,Puneri Paltan,14,15.93
Season 2,Bengaluru Bulls,16,15.75
Season 2,Dabang Delhi K.C.,14,15.5
Season 2,U Mumba,16,14.81
Season 2,Patna Pirates,16,14.25
Season 2,Bengal Warriors,14,13.14
Season 1,Telugu Titans,14,24
Season 1,U Mumba,16,21.69
Season 1,Jaipur Pink Panthers,16,21.5
Season 1,Dabang Delhi K.C.,14,20.36
Season 1,Bengal Warriors,14,20.21
Season 1,Patna Pirates,16,19.75
Season 1,Puneri Paltan,14,19.21
Season 1,Bengaluru Bulls,16,18.19
