Season,TeamName,MatchesPlayed,Successful tackles
All Seasons,U Mumba,126,1216
All Seasons,Patna Pirates,131,1176
All Seasons,Puneri Paltan,126,1159
All Seasons,Bengaluru Bulls,125,1086
All Seasons,Telugu Titans,122,1067
All Seasons,Jaipur Pink Panthers,124,1055
All Seasons,Bengal Warriors,125,1025
All Seasons,Dabang Delhi K.C.,122,998
All Seasons,Gujarat Fortunegiants,69,687
All Seasons,U.P. Yoddha,66,600
All Seasons,Haryana Steelers,64,567
All Seasons,Tamil Thalaivas,64,518
Season 7,Puneri Paltan,20,207
Season 7,Jaipur Pink Panthers,20,189
Season 7,Gujarat Fortunegiants,20,187
Season 7,Bengal Warriors,20,182
Season 7,Dabang Delhi K.C.,20,181
Season 7,Haryana Steelers,19,181
Season 7,U.P. Yoddha,18,177
Season 7,Bengaluru Bulls,19,168
Season 7,U Mumba,19,168
Season 7,Patna Pirates,19,168
Season 7,Telugu Titans,18,162
Season 7,Tamil Thalaivas,20,160
Season 6,U Mumba,23,274
Season 6,Gujarat Fortunegiants,25,258
Season 6,U.P. Yoddha,25,240
Season 6,Bengaluru Bulls,24,219
Season 6,Jaipur Pink Panthers,22,202
Season 6,Telugu Titans,22,202
Season 6,Dabang Delhi K.C.,24,198
Season 6,Puneri Paltan,22,189
Season 6,Bengal Warriors,23,186
Season 6,Patna Pirates,22,186
Season 6,Haryana Steelers,22,180
Season 6,Tamil Thalaivas,22,174
Season 5,Puneri Paltan,24,252
Season 5,Gujarat Fortunegiants,24,242
Season 5,Patna Pirates,26,226
Season 5,Haryana Steelers,23,206
Season 5,Telugu Titans,22,191
Season 5,Bengaluru Bulls,22,185
Season 5,Tamil Thalaivas,22,184
Season 5,U.P. Yoddha,23,183
Season 5,Bengal Warriors,24,181
Season 5,U Mumba,22,176
Season 5,Jaipur Pink Panthers,22,162
Season 5,Dabang Delhi K.C.,22,159
Season 4,Telugu Titans,16,157
Season 4,Patna Pirates,16,145
Season 4,Puneri Paltan,16,140
Season 4,Jaipur Pink Panthers,16,119
Season 4,Bengal Warriors,14,117
Season 4,Dabang Delhi K.C.,14,116
Season 4,U Mumba,14,110
Season 4,Bengaluru Bulls,14,109
Season 3,Patna Pirates,16,175
Season 3,Puneri Paltan,16,174
Season 3,U Mumba,16,163
Season 3,Bengal Warriors,16,137
Season 3,Jaipur Pink Panthers,14,101
Season 3,Telugu Titans,14,101
Season 3,Dabang Delhi K.C.,14,98
Season 3,Bengaluru Bulls,14,94
Season 2,U Mumba,16,180
Season 2,Telugu Titans,16,158
Season 2,Bengaluru Bulls,16,158
Season 2,Patna Pirates,16,152
Season 2,Jaipur Pink Panthers,14,124
Season 2,Dabang Delhi K.C.,14,122
Season 2,Bengal Warriors,14,116
Season 2,Puneri Paltan,14,104
Season 1,Jaipur Pink Panthers,16,158
Season 1,Bengaluru Bulls,16,153
Season 1,U Mumba,16,145
Season 1,Patna Pirates,16,124
Season 1,Dabang Delhi K.C.,14,124
Season 1,Bengal Warriors,14,106
Season 1,Telugu Titans,14,96
Season 1,Puneri Paltan,14,93
