Season,TeamName,MatchesPlayed,Tackle points
All Seasons,U Mumba,126,1317
All Seasons,Patna Pirates,131,1303
All Seasons,Puneri Paltan,126,1276
All Seasons,Jaipur Pink Panthers,124,1179
All Seasons,Telugu Titans,122,1176
All Seasons,Bengaluru Bulls,125,1172
All Seasons,Bengal Warriors,125,1118
All Seasons,Dabang Delhi K.C.,122,1087
All Seasons,Gujarat Fortunegiants,69,731
All Seasons,U.P. Yoddha,66,658
All Seasons,Haryana Steelers,64,615
All Seasons,Tamil Thalaivas,64,561
Season 7,Puneri Paltan,20,232
Season 7,Jaipur Pink Panthers,20,219
Season 7,Gujarat Fortunegiants,20,203
Season 7,Haryana Steelers,19,195
Season 7,Bengal Warriors,20,192
Season 7,U.P. Yoddha,18,192
Season 7,Patna Pirates,19,191
Season 7,Bengaluru Bulls,19,191
Season 7,Dabang Delhi K.C.,20,187
Season 7,U Mumba,19,183
Season 7,Telugu Titans,18,182
Season 7,Tamil Thalaivas,20,171
Season 6,U Mumba,23,289
Season 6,Gujarat Fortunegiants,25,274
Season 6,U.P. Yoddha,25,265
Season 6,Telugu Titans,22,233
Season 6,Bengaluru Bulls,24,230
Season 6,Jaipur Pink Panthers,22,225
Season 6,Puneri Paltan,22,219
Season 6,Dabang Delhi K.C.,24,216
Season 6,Patna Pirates,22,201
Season 6,Bengal Warriors,23,200
Season 6,Haryana Steelers,22,193
Season 6,Tamil Thalaivas,22,189
Season 5,Puneri Paltan,24,271
Season 5,Gujarat Fortunegiants,24,254
Season 5,Patna Pirates,26,252
Season 5,Haryana Steelers,23,227
Season 5,Telugu Titans,22,207
Season 5,U Mumba,22,202
Season 5,Tamil Thalaivas,22,201
Season 5,U.P. Yoddha,23,201
Season 5,Bengaluru Bulls,22,200
Season 5,Bengal Warriors,24,193
Season 5,Jaipur Pink Panthers,22,171
Season 5,Dabang Delhi K.C.,22,169
Season 4,Patna Pirates,16,171
Season 4,Telugu Titans,16,162
Season 4,Puneri Paltan,16,146
Season 4,Jaipur Pink Panthers,16,135
Season 4,Dabang Delhi K.C.,14,134
Season 4,Bengal Warriors,14,125
Season 4,Bengaluru Bulls,14,124
Season 4,U Mumba,14,121
Season 3,Puneri Paltan,16,187
Season 3,Patna Pirates,16,182
Season 3,U Mumba,16,169
Season 3,Bengal Warriors,16,150
Season 3,Jaipur Pink Panthers,14,117
Season 3,Telugu Titans,14,116
Season 3,Dabang Delhi K.C.,14,111
Season 3,Bengaluru Bulls,14,100
Season 2,U Mumba,16,196
Season 2,Telugu Titans,16,172
Season 2,Patna Pirates,16,164
Season 2,Bengaluru Bulls,16,164
Season 2,Jaipur Pink Panthers,14,142
Season 2,Bengal Warriors,14,136
Season 2,Dabang Delhi K.C.,14,136
Season 2,Puneri Paltan,14,114
Season 1,Jaipur Pink Panthers,16,170
Season 1,Bengaluru Bulls,16,163
Season 1,U Mumba,16,157
Season 1,Patna Pirates,16,142
Season 1,Dabang Delhi K.C.,14,134
Season 1,Bengal Warriors,14,122
Season 1,Puneri Paltan,14,107
Season 1,Telugu Titans,14,104
