Season,TeamName,MatchesPlayed,Avg tackle points
All Seasons,Gujarat Fortunegiants,69,10.59
All Seasons,U Mumba,126,10.45
All Seasons,Puneri Paltan,126,10.13
All Seasons,U.P. Yoddha,66,9.97
All Seasons,Patna Pirates,131,9.95
All Seasons,Telugu Titans,122,9.64
All Seasons,Haryana Steelers,64,9.61
All Seasons,Jaipur Pink Panthers,124,9.51
All Seasons,Bengaluru Bulls,125,9.38
All Seasons,Bengal Warriors,125,8.94
All Seasons,Dabang Delhi K.C.,122,8.91
All Seasons,Tamil Thalaivas,64,8.77
Season 7,Puneri Paltan,20,11.6
Season 7,Jaipur Pink Panthers,20,10.95
Season 7,U.P. Yoddha,18,10.67
Season 7,Haryana Steelers,19,10.26
Season 7,Gujarat Fortunegiants,20,10.15
Season 7,Telugu Titans,18,10.11
Season 7,Patna Pirates,19,10.05
Season 7,Bengaluru Bulls,19,10.05
Season 7,U Mumba,19,9.63
Season 7,Bengal Warriors,20,9.6
Season 7,Dabang Delhi K.C.,20,9.35
Season 7,Tamil Thalaivas,20,8.55
Season 6,U Mumba,23,12.57
Season 6,Gujarat Fortunegiants,25,10.96
Season 6,U.P. Yoddha,25,10.6
Season 6,Telugu Titans,22,10.59
Season 6,Jaipur Pink Panthers,22,10.23
Season 6,Puneri Paltan,22,9.95
Season 6,Bengaluru Bulls,24,9.58
Season 6,Patna Pirates,22,9.14
Season 6,Dabang Delhi K.C.,24,9
Season 6,Haryana Steelers,22,8.77
Season 6,Bengal Warriors,23,8.7
Season 6,Tamil Thalaivas,22,8.59
Season 5,Puneri Paltan,24,11.29
Season 5,Gujarat Fortunegiants,24,10.58
Season 5,Haryana Steelers,23,9.87
Season 5,Patna Pirates,26,9.69
Season 5,Telugu Titans,22,9.41
Season 5,U Mumba,22,9.18
Season 5,Tamil Thalaivas,22,9.14
Season 5,Bengaluru Bulls,22,9.09
Season 5,U.P. Yoddha,23,8.74
Season 5,Bengal Warriors,24,8.04
Season 5,Jaipur Pink Panthers,22,7.77
Season 5,Dabang Delhi K.C.,22,7.68
Season 4,Patna Pirates,16,10.69
Season 4,Telugu Titans,16,10.13
Season 4,Dabang Delhi K.C.,14,9.57
Season 4,Puneri Paltan,16,9.13
Season 4,Bengal Warriors,14,8.93
Season 4,Bengaluru Bulls,14,8.86
Season 4,U Mumba,14,8.64
Season 4,Jaipur Pink Panthers,16,8.44
Season 3,Puneri Paltan,16,11.69
Season 3,Patna Pirates,16,11.38
Season 3,U Mumba,16,10.56
Season 3,Bengal Warriors,16,9.38
Season 3,Jaipur Pink Panthers,14,8.36
Season 3,Telugu Titans,14,8.29
Season 3,Dabang Delhi K.C.,14,7.93
Season 3,Bengaluru Bulls,14,7.14
Season 2,U Mumba,16,12.25
Season 2,Telugu Titans,16,10.75
Season 2,Patna Pirates,16,10.25
Season 2,Bengaluru Bulls,16,10.25
Season 2,Jaipur Pink Panthers,14,10.14
Season 2,Bengal Warriors,14,9.71
Season 2,Dabang Delhi K.C.,14,9.71
Season 2,Puneri Paltan,14,8.14
Season 1,Jaipur Pink Panthers,16,10.63
Season 1,Bengaluru Bulls,16,10.19
Season 1,U Mumba,16,9.81
Season 1,Dabang Delhi K.C.,14,9.57
Season 1,Patna Pirates,16,8.88
Season 1,Bengal Warriors,14,8.71
Season 1,Puneri Paltan,14,7.64
Season 1,Telugu Titans,14,7.43
