metrics,AllSeasons,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,122,20,24,22,14,14,14,14,Dabang Delhi K.C.
wins,46,15,12,5,4,1,4,5,Dabang Delhi K.C.
draws,9,2,2,1,1,1,1,1,Dabang Delhi K.C.
losses,67,3,10,16,9,12,9,8,Dabang Delhi K.C.
Finishing Position,-,1,3,6,7,8,6,6,Dabang Delhi K.C.
highest score,"60
vs","60
vs","48
vs","38
vs","41
vs","36
vs","45
vs","46
vs",Dabang Delhi K.C.
Biggest Winning Margin,"23




45

vs


22","20




41

vs


21","13




48

vs


35","8




38

vs


30","21




41

vs


20","14




21

vs


35","19




45

vs


26","23




45

vs


22",Dabang Delhi K.C.
Total Raids,5159,812,997,973,619,614,585,559,Dabang Delhi K.C.
Successful Raids,1783,361,401,283,162,171,159,246,Dabang Delhi K.C.
unsuccessful raid,1171,161,224,214,120,162,151,139,Dabang Delhi K.C.
empty raids,2205,290,372,476,337,281,275,174,Dabang Delhi K.C.
success raid %,43%,54%,48%,35%,37%,38%,37%,51%,Dabang Delhi K.C.
no. of super raids,62,8,13,6,11,5,14,5,Dabang Delhi K.C.
raid touch points,1698,324,367,260,170,175,174,228,Dabang Delhi K.C.
raid bonus points,527,113,116,84,56,58,43,57,Dabang Delhi K.C.
total raid points,2225,437,483,344,226,233,217,285,Dabang Delhi K.C.
total tackles,2891,480,559,497,306,346,333,370,Dabang Delhi K.C.
successful tackles,998,181,198,159,116,98,122,124,Dabang Delhi K.C.
unsuccesful tackles,1893,299,361,338,190,248,211,246,Dabang Delhi K.C.
successful tackle %,38%,39%,39%,34%,44%,32%,41%,36%,Dabang Delhi K.C.
no. of super tackles,96,8,19,12,20,13,14,10,Dabang Delhi K.C.
all outs inflicted,141,34,34,18,15,9,13,18,Dabang Delhi K.C.
total all out points,282,68,68,36,30,18,26,36,Dabang Delhi K.C.
total defence points,1087,187,216,169,134,111,136,134,Dabang Delhi K.C.
