metrics,AllSeasons,Season5,Season6,Season7,Team
Matches Played,69,20,25,24,Gujarat Fortunegiants
wins,40,6,18,16,Gujarat Fortunegiants
draws,7,2,2,3,Gujarat Fortunegiants
losses,22,12,5,5,Gujarat Fortunegiants
Finishing Position,-,8,1,1,Gujarat Fortunegiants
highest score,"50
vs","50
vs","47
vs","45
vs",Gujarat Fortunegiants
Biggest Winning Margin,"29




50

vs


21","29




50

vs


21","18




27

vs


45","25




42

vs


17",Gujarat Fortunegiants
Total Raids,2948,821,1072,1055,Gujarat Fortunegiants
Successful Raids,992,265,392,335,Gujarat Fortunegiants
unsuccessful raid,677,220,246,211,Gujarat Fortunegiants
empty raids,1279,336,434,509,Gujarat Fortunegiants
success raid %,41%,39%,45%,38%,Gujarat Fortunegiants
no. of super raids,26,5,10,11,Gujarat Fortunegiants
raid touch points,986,255,385,346,Gujarat Fortunegiants
raid bonus points,219,65,95,59,Gujarat Fortunegiants
total raid points,1205,320,480,405,Gujarat Fortunegiants
total tackles,1500,417,586,497,Gujarat Fortunegiants
successful tackles,687,187,258,242,Gujarat Fortunegiants
unsuccesful tackles,813,230,328,255,Gujarat Fortunegiants
successful tackle %,49%,49%,47%,51%,Gujarat Fortunegiants
no. of super tackles,47,17,18,12,Gujarat Fortunegiants
all outs inflicted,93,21,36,36,Gujarat Fortunegiants
total all out points,186,42,72,72,Gujarat Fortunegiants
total defence points,731,203,274,254,Gujarat Fortunegiants
