metrics,AllSeasons,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,132,20,22,26,16,16,16,16,Patna Pirates
wins,68,6,9,14,12,12,7,8,Patna Pirates
draws,13,1,2,5,0,2,1,2,Patna Pirates
losses,51,13,11,7,4,2,8,6,Patna Pirates
Finishing Position,-,10,4,2,1,2,4,4,Patna Pirates
highest score,"69
vs","55
vs","53
vs","69
vs","38
vs","67
vs","39
vs","52
vs",Patna Pirates
Biggest Winning Margin,"39




69

vs


30","26




25

vs


51","20




50

vs


30","39




69

vs


30","15




23

vs


38","33




34

vs


67","17




21

vs


38","22




30

vs


52",Patna Pirates
Total Raids,5683,842,934,1173,692,703,701,638,Patna Pirates
Successful Raids,2078,303,406,487,206,241,182,253,Patna Pirates
unsuccessful raid,1232,194,226,238,152,129,159,134,Patna Pirates
empty raids,2373,345,302,448,334,333,360,251,Patna Pirates
success raid %,47%,45%,53%,54%,38%,46%,33%,50%,Patna Pirates
no. of super raids,90,13,11,26,7,16,4,13,Patna Pirates
raid touch points,2124,307,376,508,224,272,185,252,Patna Pirates
raid bonus points,524,76,120,129,40,52,43,64,Patna Pirates
total raid points,2648,383,496,637,264,324,228,316,Patna Pirates
total tackles,3141,468,555,625,332,405,376,380,Patna Pirates
successful tackles,1182,174,186,226,145,175,152,124,Patna Pirates
unsuccesful tackles,1959,294,369,399,187,230,224,256,Patna Pirates
successful tackle %,42%,42%,36%,40%,52%,45%,44%,37%,Patna Pirates
no. of super tackles,132,24,16,27,27,7,13,18,Patna Pirates
all outs inflicted,193,28,30,55,19,30,13,18,Patna Pirates
total all out points,386,56,60,110,38,60,26,36,Patna Pirates
total defence points,1310,198,201,252,171,182,164,142,Patna Pirates
