metrics,AllSeasons,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,126,20,22,24,16,16,14,14,Puneri Paltan
wins,49,6,8,16,7,8,2,2,Puneri Paltan
draws,11,3,2,0,2,3,1,0,Puneri Paltan
losses,66,11,12,8,7,5,11,12,Puneri Paltan
Finishing Position,-,9,4,2,4,3,8,8,Puneri Paltan
highest score,"47
vs","43
vs","45
vs","47
vs","41
vs","44
vs","37
vs","40
vs",Puneri Paltan
Biggest Winning Margin,"24




43

vs


19","21




20

vs


41","18




27

vs


45","23




38

vs


15","22




41

vs


19","24




43

vs


19","5




33

vs


28","10




40

vs


30",Puneri Paltan
Total Raids,5379,831,940,1042,716,698,600,552,Puneri Paltan
Successful Raids,1687,290,286,304,230,203,170,204,Puneri Paltan
unsuccessful raid,1248,214,228,223,151,133,151,148,Puneri Paltan
empty raids,2444,327,426,515,335,362,279,200,Puneri Paltan
success raid %,39%,43%,37%,36%,40%,36%,37%,49%,Puneri Paltan
no. of super raids,63,6,7,12,10,9,8,11,Puneri Paltan
raid touch points,1678,268,235,321,246,215,186,207,Puneri Paltan
raid bonus points,438,90,111,58,44,36,37,62,Puneri Paltan
total raid points,2116,358,346,379,290,251,223,269,Puneri Paltan
total tackles,2989,549,502,547,345,371,307,368,Puneri Paltan
successful tackles,1159,207,189,252,140,174,104,93,Puneri Paltan
unsuccesful tackles,1830,342,313,295,205,197,203,275,Puneri Paltan
successful tackle %,43%,42%,44%,50%,42%,50%,37%,29%,Puneri Paltan
no. of super tackles,125,25,34,21,7,13,11,14,Puneri Paltan
all outs inflicted,134,18,14,32,21,25,12,12,Puneri Paltan
total all out points,268,36,28,64,42,50,24,24,Puneri Paltan
total defence points,1276,232,219,271,146,187,114,107,Puneri Paltan
