metrics,AllSeasons,Season5,Season6,Season7,Team
Matches Played,64,20,22,22,Tamil Thalaivas
wins,14,3,5,6,Tamil Thalaivas
draws,9,3,4,2,Tamil Thalaivas
losses,41,14,13,14,Tamil Thalaivas
Finishing Position,-,12,6,6,Tamil Thalaivas
highest score,"46
vs","39
vs","46
vs","40
vs",Tamil Thalaivas
Biggest Winning Margin,"22




24

vs


46","13




26

vs


39","22




24

vs


46","5




24

vs


29",Tamil Thalaivas
Total Raids,2781,834,925,1022,Tamil Thalaivas
Successful Raids,970,275,344,351,Tamil Thalaivas
unsuccessful raid,649,220,222,207,Tamil Thalaivas
empty raids,1162,339,359,464,Tamil Thalaivas
success raid %,42%,41%,45%,40%,Tamil Thalaivas
no. of super raids,16,4,7,5,Tamil Thalaivas
raid touch points,888,265,314,309,Tamil Thalaivas
raid bonus points,285,79,105,101,Tamil Thalaivas
total raid points,1173,344,419,410,Tamil Thalaivas
total tackles,1471,456,498,517,Tamil Thalaivas
successful tackles,518,160,174,184,Tamil Thalaivas
unsuccesful tackles,953,296,324,333,Tamil Thalaivas
successful tackle %,38%,38%,38%,39%,Tamil Thalaivas
no. of super tackles,45,13,15,17,Tamil Thalaivas
all outs inflicted,53,14,20,19,Tamil Thalaivas
total all out points,106,28,40,38,Tamil Thalaivas
total defence points,561,171,189,201,Tamil Thalaivas
