metrics,AllSeasons,Season1,Season2,Season3,Season4,Season5,Season6,Season7,Team
Matches Played,122,18,22,22,16,14,16,14,Telugu Titans
wins,50,5,8,7,8,7,9,6,Telugu Titans
draws,15,3,1,3,2,0,3,3,Telugu Titans
losses,57,10,13,12,6,7,4,5,Telugu Titans
Finishing Position,-,10,5,5,2,5,2,5,Telugu Titans
highest score,"60
vs","51
vs","53
vs","58
vs","46
vs","45
vs","54
vs","60
vs",Telugu Titans
Biggest Winning Margin,"36




60

vs


24","20




31

vs


51","21




32

vs


53","22




22

vs


44","21




25

vs


46","18




40

vs


22","22




54

vs


32","36




60

vs


24",Telugu Titans
Total Raids,5240,744,953,971,687,609,707,569,Telugu Titans
Successful Raids,1843,273,289,332,206,206,265,272,Telugu Titans
unsuccessful raid,1132,181,229,197,133,133,143,116,Telugu Titans
empty raids,2265,290,435,442,348,270,299,181,Telugu Titans
success raid %,44%,45%,37%,41%,39%,42%,49%,59%,Telugu Titans
no. of super raids,62,9,9,10,7,3,16,8,Telugu Titans
raid touch points,1799,238,246,301,225,201,297,291,Telugu Titans
raid bonus points,487,94,107,99,42,53,47,45,Telugu Titans
total raid points,2286,332,353,400,267,254,344,336,Telugu Titans
total tackles,2807,413,486,508,364,304,399,333,Telugu Titans
successful tackles,1067,162,202,191,157,101,158,96,Telugu Titans
unsuccesful tackles,1740,251,284,317,207,203,241,237,Telugu Titans
successful tackle %,42%,44%,48%,41%,44%,38%,43%,31%,Telugu Titans
no. of super tackles,115,21,33,17,5,15,16,8,Telugu Titans
all outs inflicted,142,13,18,25,22,13,26,25,Telugu Titans
total all out points,284,26,36,50,44,26,52,50,Telugu Titans
total defence points,1176,182,233,207,162,116,172,104,Telugu Titans
